Procedure ID,Description,Amount
361363,CATH DRN 7FR 20CM SKTR  ,298.97
788736,OZARK ANTERIOR CERVICAL ,2375.00
788737,OZARK SINGLE USE TEMPORA,68.75
788837,CTLSO  MOLDED TO PATIENT,5137.21
788842,SPACER SPNL 14X11MM VRTS,2125.00
788872,SOLUTION IV 5% DEX 250ML,13.76
788880,MR ELASTOGRAPHY         ,692.00
788913,CATHETER EP 90CM 7FR MRN,319.36
788939,SPACER SPNL 37X27X10MM C,13125.00
788942,BIT DRL 12MM 4MM STRL   ,13270.07
788944,CATHETER EP 110CM 6FR IN,483.86
788945,CATHETER EP 115CM 5FR LV,319.36
788946,CATHETER EP 115CM 5FR LV,319.36
788947,CATHETER EP 120CM 6FR SP,97.46
788964,SCREW BN CREO A CREO COC,992.50
788965,SPACER SPNL 27MMX13MM CP,5625.00
788996,PPICC PROV SOL FT 5FR DL,540.98
788997,KIT CATH 4FR 55CM P PICC,515.24
789012,CATHETER EP 120CM 6FR RS,97.46
789032,1 STRATAFIX SYMMETRIC PD,70.69
789117,PLATE 1.5 MM SCR 8 HL SC,498.15
789118,PLATE 211MM SS 4.5MM SCR,3497.50
789120,PLATE X 1.8MM MINI STRNM,1494.67
789129,SCREW BN 8MM 90MM MTRX T,1712.50
789139,TAP 6MM SLFDRL HEX CPLNG,1397.00
789256,SHOE DIABETIC FOR DENSIT,134.31
789257,SHOE INSOLE INS MULTI DE,54.81
789403,**POTELIGEO INJ         ,13265.00
789740,CANNULA RF SUBTLE ABD 1 ,5355.00
789802,BANDAGE FOURFLEX 10YDX4I,23.18
789851,BLOOD TRANSFUSION       ,3052.90
789852,BLOOD TRANSFUSION       ,2229.70
789853,CT HEAD/BRAIN W/O CONT  ,6558.24
789877,GADOTERATE MEG 0.1 ML   ,13.01
789878,GADOTERATE MEG 20 ML    ,13.01
789907,INTRODUCER SHTH 8.5FR 18,478.50
790041,OR HYBRID ROOM 15 MIN   ,6500.00
790188,ROD CC 3.5X300MM        ,495.00
790239,PANTOPRAZOLE 40 MG INJ  ,83.70
790252,NEEDLE BX 11GA 4IN T TPR,49.16
790493,COIL EMBL 19CM 6MM HYDRO,5312.50
790607,LEAD PCNG 65CM 6.8FR 11M,11875.00
790610,POSITIONER SURG STRFSH H,2669.52
790850,STIRRUP LONG TONGUE ADDI,229.28
790851,STIRRUP AFO DOUBLE SOLID,785.25
790856,NAIL 11MM 235MM FEM RT P,4805.63
790930,STIRRUP AFO DBL SOL CALF,785.25
790931,STIRRUP LG TNG ADD TO LO,229.28
790990,SUTURE VC RPD MTPS 4-0 P,151.91
791036,CATHETER EP 65CM 5FR SPR,768.77
791037,CATHETER EP 120CM 6FR SP,264.88
791038,CATHETER EP 120CM 5FR SP,264.88
791039,CATHETER EP 110CM 4FR IN,924.00
791275,MESH HRN PP 22X18IN PERM,23760.00
791276,MESH HRN PP 20X20IN PERM,24000.00
791277,LEAD ICD PLEXA PROMRI S ,8393.75
791278,LEAD ICD ILIVIA 7 DF4 CO,18389.23
791284,GUIDEWIRE VASC 260CM .03,107.03
791285,GUIDEWIRE VASC 180CM .03,100.87
791287,CLAMP PENL 2IN CUNNINGHA,62.00
791294,SUBSTITUTE BNFG XEMPLIFI,250.00
791295,SCR BN 4X30MM SPNE P-AX ,1712.50
791296,SCREW BN 1.5MM 7MM STRDR,112.50
791297,PLATE STR 1MM TI 1.5MM S,1179.38
791298,PLT BN 120X120X.6MM 1.5M,4431.00
791299,INQWIRE AMPLATZ GUIDE WI,100.78
791301,ARCH BAR                ,400.40
791398,CEMENT BN BMT 40GM      ,144.77
791402,MGMT RECIPT CELL DNR ACQ,81594.13
791501,GUIDEWIRE VASC .014IN FR,209.00
791525,KIT INTRO 16CM 6FR 22GA ,327.25
791536,CATHETER EP 120CM 6FR RS,116.13
791554,VALVE MTRL MITRACLIP BND,72500.00
791556,VALVE MTRL MITRACLIP BND,72500.00
791557,VALVE MTRL MITRACLIP BND,72500.00
791558,VALVE MTRL MITRACLIP BND,72500.00
791559,VALVE MTRL MITRACLIP BND,72500.00
791560,VALVE MTRL MITRACLIP BND,72500.00
791561,VALVE MTRL MITRACLIP BND,72500.00
791562,SHEATH ESURG 36.5CM 13FR,675.14
791563,SET SHTH 13FR LD EXTR EV,3963.12
791583,INTRODUCER SHTH 4FR 50CM,26.95
791584,GUIDEWIRE VASC 230CM .02,554.00
791585,GUIDEWIRE VASC 175CM .02,477.40
791590,CATHETER GD 60CM 7FR ACT,462.00
791591,CATHETER ANGIO JDKN RT 2,795.87
791649,HPC AUTO TRANS          ,14105.37
791650,MOB 10-37MM X 4.0CM X 90,957.00
791760,SHEATH DIL .119IN TIGHTR,3986.64
791767,NAIL 14MM 420MM FEM RT P,5857.50
791768,NAIL 14MM 380MM FEM LT P,5857.50
791769,NAIL 14MM 360MM FEM RT P,5857.50
791770,NAIL 14MM 360MM FEM LT P,5857.50
791771,NAIL 14MM 340MM FEM RT P,5857.50
791772,NAIL 14MM 340MM FEM LT P,5857.50
791774,NAIL 14MM 320MM FEM RT P,5857.50
791775,NAIL 14MM 320MM FEM LT P,5857.50
791776,NAIL 10MM 440MM FEM RT P,5857.50
791777,NAIL 10MM 440MM FEM LT P,5857.50
791778,NAIL 10MM 420MM FEM RT P,5857.50
791779,NAIL 10MM 420MM FEM LT P,5857.50
791780,NAIL 10MM 400MM FEM RT P,5857.50
791781,NAIL 10MM 400MM FEM LT P,5857.50
791782,NAIL 10MM 380MM FEM RT P,5857.50
791783,NAIL 10MM 360MM FEM LT P,5857.50
791784,NAIL 10MM 340MM FEM RT P,5857.50
791788,GRAFT ST TIS 22+ CM POST,3791.25
791794,SYSTEM WND IRR 0.05% CHG,215.02
791818,BSCP FLX 600MM 5.8MM 2.8,766.30
791845,OPTIFOAM GENTLE SA POST-,24.49
791846,OPTIFOAM GENTLE SA POST-,22.39
791847,UNLISTED CHEMO PROC     ,124.42
791848,CHEM SUBAR/INTRAVENT S/M,642.03
791849,IRRIGATION OF VAD       ,188.03
791850,REFILL/MAINT PORT PUMP  ,642.03
791851,CHEMO CNS SPINAL PUNC   ,999.73
791852,CHEMO PERITON PORT/CATH ,999.73
791853,CHEMO PLEURAL THORACEN  ,999.73
791854,CHEM IN ART INF>8+PUMP  ,999.73
791855,CHEMO ART INF EA ADDL HR,124.42
791856,CHEMO INTART UP TO 1 HR ,642.03
791857,CHEMO INTRA ART PUSH    ,999.73
791858,CHEMO IV EA AD SEQ 1 HR ,999.73
791859,CHEMO IV PUSH EA ADD DRG,195.55
791860,CHEMO SQ/IM HORMONL ANPL,195.55
791861,IVP EA ADD SEQ SAME DRUG,124.42
791862,HPC BOOST               ,7364.53
791863,ALLOGENIC LYMPHOCYTE INF,5429.42
791864,HPC ALLO TRANS PER DONOR,102282.80
791865,BONE MARROW BIOPSY      ,4529.08
791866,BLD/STEM HARVEST AUTOLOG,5877.72
791867,BLD/STEM HARVEST ALLOGEN,95214.68
791869,DECLOT VASC DEVICE/CATH ,999.73
791870,REM TUN CV CATH WO/P-P  ,2060.34
791871,PHOTOPHERESIS EXTRACORP ,12431.50
791872,NDL/INCATH VEIN         ,112.76
791873,**BX SKIN SQ LESION EA A,563.83
791874,CHEM INF > 8 HR REQ PUMP,999.73
791875,CHEMO IV EA ADD HOUR    ,195.55
791876,CHEM IV SING/IN DR 1 HR ,999.73
791877,CHEMO IV PUSH SING/IN DR,642.03
791878,CHEMO INTRALESION> 7    ,642.03
791879,CHEM INTRALESION 1-7    ,195.55
791880,CHEM SQ/IM NON HORM ANP ,195.55
791881,IVP EA AD SEQ NEW DRUG  ,124.42
791882,IVP SINGLE/INITIAL DRUG ,642.03
791883,CLIP ANRSM 8MM YSRGL STD,710.40
791884,CLIP ANRSM 8.6MM YSRGL S,710.40
791885,CLIP ANRSM 8.4MM YSRGL S,710.40
791886,CLIP ANRSM 7MM YSRGL MIN,710.40
791887,CLIP ANRSM 6.3MM YSRGL M,710.40
791888,CLIP ANRSM 5MM YSRGL 8MM,710.40
791889,CLIP ANRSM 4MM YSRGL MIN,710.40
791890,CLIP ANRSM 4MM YSRGL MIN,710.40
791891,CLIP ANRSM 4.7MM YSRGL M,710.40
791892,CLIP ANRSM 4.7MM YSRGL M,710.40
791893,CLIP ANRSM 3MM YSRGL MIN,710.40
791894,CLIP ANRSM 3.9MM YSRGL M,710.40
791899,JET D REPRFSN CATH AN PE,6468.00
791903,V.A.C. VERAFLO CLEANSE C,542.86
791912,EPIFIXEPICORD 1SQCM    ,3187.50
791913,CATHETER EP 90CM 7FR MRN,1294.00
791916,INJECTION INTRA ARTERIAL,642.03
791917,INJECTION IM OR SQ/SD GY,195.55
