"SVCCD","Description","PRICE1","As of Date"
"1010014","NI-EKG, 12 LEADS    ",173.75,"2/5/2019"
"1010015","NI-STRESS TEST      ",881.00,"2/5/2019"
"1010023","NI-EVENT REC HKP    ",872.75,"2/5/2019"
"1010045","NI-HOLTER RECRD TO48",1296.00,"2/5/2019"
"1010046","NI-HOLTER W-SCAN 48 ",2988.75,"2/5/2019"
"1020032","EEG AWAKE DROWSY    ",963.50,"2/5/2019"
"1020033","EEG AWAKE ASLEEP    ",1130.50,"2/5/2019"
"1040021","NI-CARDI REHAB W- MO",552.50,"2/5/2019"
"1050025","US-CAROTID DPLX SCAN",2177.00,"2/5/2019"
"1050026","NI-DUPSCN EXC UN LTD",1085.25,"2/5/2019"
"1050029","NI-EXT ARTERIAL LTD ",796.75,"2/5/2019"
"1050030","NI-NON INV ARTER EXT",1599.25,"2/5/2019"
"1050031","NI-STD LE STRS REST ",2282.25,"2/5/2019"
"1050032","NI-LW EXT DPX ART BI",1971.50,"2/5/2019"
"1050034","NI-UP EXT DPX ART BI",1971.50,"2/5/2019"
"1050035","NI-UP EXT DPX ART UN",1256.00,"2/5/2019"
"1050037","NI-EXT VEINS DPLX WC",2264.25,"2/5/2019"
"1050038","US-EXT VEINS DPX LTD",1256.00,"2/5/2019"
"1050039","NI-DPLX SCAN ART CMP",990.02,"2/5/2019"
"1050040","NI-ABD RETROPER DPLX",1065.25,"2/5/2019"
"1050041","NI-DPLXSCN GRFT ARTA",318.84,"2/5/2019"
"1050059","NI-LW EXT DPX ART UN",1256.00,"2/5/2019"
"1050075","NI-TTE STRESS WWO   ",2149.25,"2/5/2019"
"1050086","NI-TTE STRESS WO    ",1451.25,"2/5/2019"
"1050089","NI-TEE COMP WO      ",2076.00,"2/5/2019"
"1050090","NI-TTE 2D MM LTD WO ",1029.00,"2/5/2019"
"1050092","NI-TTE 2D W DOPP WO ",1897.25,"2/5/2019"
"1050115","NI-TTE 2D W DOPP WWO",3745.00,"2/5/2019"
"1061232","CC-INSERT IABP      ",450.25,"2/5/2019"
"1061233","CC-REMOVE IABP      ",316.50,"2/5/2019"
"1061246","IC-PTCA, SINGLE     ",16766.25,"2/5/2019"
"1061247","IC-PTCA, ADDL       ",10057.75,"2/5/2019"
"1061266","P-INS GEN-LEAD VEN  ",29910.75,"2/5/2019"
"1061267","P-INS DUAL PAC SYS  ",36500.25,"2/5/2019"
"1061268","P-INS TMP PAC LD SGL",13892.00,"2/5/2019"
"1061273","P-REPOS RA-RV LEAD  ",7219.75,"2/5/2019"
"1061295","S-INTRO NDL CATH VEI",835.25,"2/5/2019"
"1061322","S-CATH EXTREM ART   ",835.25,"2/5/2019"
"1061418","HEART FLOW MEASURE  ",947.00,"2/5/2019"
"1061467","S-INS-REP PACE-DEFIB",92081.75,"2/5/2019"
"1061473","CC-INS NT CVC GT 5YR",2639.28,"2/5/2019"
"1061480","NI-CARDIOVERSION    ",2708.00,"2/5/2019"
"1061489","NI-TILT TABLE       ",985.25,"2/5/2019"
"1061501","CC-RHC              ",15472.75,"2/5/2019"
"1061504","CC-ANGIO CORON ONLY ",10554.75,"2/5/2019"
"1061508","CC-L HRT ARTERY-VENT",18517.25,"2/5/2019"
"1061509","CC-L HRT ART-GRF ANG",18779.25,"2/5/2019"
"1061510","CC-R-L HRT ART-VENT ",18517.25,"2/5/2019"
"1061511","CC-R-L HRT ART-ANGIO",18779.25,"2/5/2019"
"1061541","S-REM-REP PM GEN DUL",34381.75,"2/5/2019"
"1061542","S-REM-REP PM GEN MLT",34381.75,"2/5/2019"
"1061546","S-REM-REP CVD DUAL  ",58099.25,"2/5/2019"
"1061547","S-REM-REP CVD MULT  ",58099.25,"2/5/2019"
"1061554","IC-PRQ CRD STN W-ANG",25464.00,"2/5/2019"
"1061560","IC-PRQ CARD REV 1 VS",25464.00,"2/5/2019"
"1061564","IC-PRQ DE COR STNT  ",32353.00,"2/5/2019"
"1061565","IC-PRQ DE COR STNT B",26092.50,"2/5/2019"
"1061570","IC-PRQ DE CR REV AMI",32353.00,"2/5/2019"
"1080014","NI-EKG, 12 LEADS    ",173.75,"2/5/2019"
"1110801","OR LEV 1 INI 15 MIN ",4388.75,"2/5/2019"
"1110802","OR LEV 2 INI 15 MIN ",5851.75,"2/5/2019"
"1110803","OR LEV 3 INI 15 MIN ",7314.50,"2/5/2019"
