"HospitalName","Description","Price","Address","Zip","City","StaffedBeds","TotalDischarges","PatientDays","GrossPatientRevenue","long","lat"
"Black River Medical Center","ACETAMINOPHEN TAB 325MG  100",1.25,"217 Physicians Park Drive, Poplar Bluff, MO, 63901",63901,"Poplar Bluff",8,407,1269,75547,-90.4565967,36.7707546
"Black River Medical Center","ACETAMINOPHEN WITH COD TAB 300/30MG",1.25,"217 Physicians Park Drive, Poplar Bluff, MO, 63901",63901,"Poplar Bluff",8,407,1269,75547,-90.4565967,36.7707546
"Bothwell Regional Health Center","TYLENOL W/CODEINE #3 TABL",4,"601 East 14th Street, Sedalia, MO, 65301",65301,"Sedalia",122,NA,15954,315040,-93.22264,38.699062
"Bothwell Regional Health Center","TYLENOL EX-STR 500MG CAPL",2,"601 East 14th Street, Sedalia, MO, 65301",65301,"Sedalia",122,NA,15954,315040,-93.22264,38.699062
"Bothwell Regional Health Center","TYLENOL 325MG TABLET",2,"601 East 14th Street, Sedalia, MO, 65301",65301,"Sedalia",122,NA,15954,315040,-93.22264,38.699062
"Citizens Memorial Hospital","acetaminophen/codeine 300/30 mg TABLET",3.05,"1500 North Oakland Avenue, Bolivar, MO, 65613",65613,"Bolivar",72,NA,8966,378182,-93.42094,37.626537
"Citizens Memorial Hospital","acetaminophen/codeine 300/60 mg TABLET",4.91,"1500 North Oakland Avenue, Bolivar, MO, 65613",65613,"Bolivar",72,NA,8966,378182,-93.42094,37.626537
"Citizens Memorial Hospital","acetaminophen ER 650 MG TABLET",2.5,"1500 North Oakland Avenue, Bolivar, MO, 65613",65613,"Bolivar",72,NA,8966,378182,-93.42094,37.626537
"Citizens Memorial Hospital","acetaminophen 500 MG GELCAP",2.5,"1500 North Oakland Avenue, Bolivar, MO, 65613",65613,"Bolivar",72,NA,8966,378182,-93.42094,37.626537
"Liberty Hospital","ACETAMINOPHEN 80MG TAB",1,"2525 Glenn Hendren Drive, Liberty, MO, 64068",64068,"Liberty",207,NA,32034,629356,-94.42488,39.276436
"Liberty Hospital","ACETAMINOPHEN 325MG TAB",1,"2525 Glenn Hendren Drive, Liberty, MO, 64068",64068,"Liberty",207,NA,32034,629356,-94.42488,39.276436
"Liberty Hospital","ACETAMINOPHEN 500MG TAB",1,"2525 Glenn Hendren Drive, Liberty, MO, 64068",64068,"Liberty",207,NA,32034,629356,-94.42488,39.276436
"Liberty Hospital","TYLENOL #3 TAB",1,"2525 Glenn Hendren Drive, Liberty, MO, 64068",64068,"Liberty",207,NA,32034,629356,-94.42488,39.276436
"Mosaic Life Care at Saint Joseph - Medical Center","TYLENOL 325MG TAB",0.25,"5325 Faraon Street, Saint Joseph, MO, 64506",64506,"Saint Joseph",352,NA,70520,1235235,-94.77176,39.770138
"Mosaic Life Care at Saint Joseph - Medical Center","ACETAMINOPHEN 500 MG TAB",0.25,"5325 Faraon Street, Saint Joseph, MO, 64506",64506,"Saint Joseph",352,NA,70520,1235235,-94.77176,39.770138
"North Kansas City Hospital","Acetaminophen 500mg Tab",0,"2800 Clay Edwards Drive, North Kansas City, MO, 64116",64116,"North Kansas City",413,NA,88996,1716388,-94.55008,39.14959
"Poplar Bluff Regional Medical Center - Oak Grove","ACETAMINOPHEN 325MG TAB       ",1,"3100 Oak Grove Rd, Poplar Bluff, MO, 63901",63901,"Poplar Bluff",221,NA,43116,1367325,-90.443287,36.788987
"Poplar Bluff Regional Medical Center - Oak Grove","ACETAMINOPHEN 500MG TAB       ",1,"3100 Oak Grove Rd, Poplar Bluff, MO, 63901",63901,"Poplar Bluff",221,NA,43116,1367325,-90.443287,36.788987
"Poplar Bluff Regional Medical Center - Oak Grove","TYLENOL W/COD #3 TAB          ",32.87,"3100 Oak Grove Rd, Poplar Bluff, MO, 63901",63901,"Poplar Bluff",221,NA,43116,1367325,-90.443287,36.788987
"Southeast Health Center of Stoddard County","TYLENOL 325MG TABLET",3,"1200 N 1 Mile Rd, Dexter, MO, 63841",63841,"Dexter",48,817,2153,67288,-89.9701,36.806152
"Southeast Health Center of Stoddard County","TYLENOL 500MG TABLET",2,"1200 N 1 Mile Rd, Dexter, MO, 63841",63841,"Dexter",48,817,2153,67288,-89.9701,36.806152
"Southeast Health Center of Stoddard County","OXYCODONE/ACETAMINOPHEN 10/325MG TAB",7,"1200 N 1 Mile Rd, Dexter, MO, 63841",63841,"Dexter",48,817,2153,67288,-89.9701,36.806152
"Saint Luke's East Hospital","HYDROCODONE 5 MG-ACETAMINOPHEN 325 MG TABLET",11.54,"100 NE St Lukes Blvd, Lee's Summit, MO, 64086",64086,"Lee's Summit",184,NA,51826,1230676,-94.38195,38.94175
"Saint Luke's East Hospital","HYDROCODONE 5 MG-ACETAMINOPHEN 325 MG TABLET",11.53,"100 NE St Lukes Blvd, Lee's Summit, MO, 64086",64086,"Lee's Summit",184,NA,51826,1230676,-94.38195,38.94175
"Saint Luke's East Hospital","HYDROCODONE 7.5 MG-ACETAMINOPHEN 325 MG TABLET",12.75,"100 NE St Lukes Blvd, Lee's Summit, MO, 64086",64086,"Lee's Summit",184,NA,51826,1230676,-94.38195,38.94175
"Saint Luke's East Hospital","HYDROCODONE 10 MG-ACETAMINOPHEN 325 MG TABLET",19.08,"100 NE St Lukes Blvd, Lee's Summit, MO, 64086",64086,"Lee's Summit",184,NA,51826,1230676,-94.38195,38.94175
"Saint Luke's East Hospital","ACETAMINOPHEN 300 MG-CODEINE 30 MG TABLET",7,"100 NE St Lukes Blvd, Lee's Summit, MO, 64086",64086,"Lee's Summit",184,NA,51826,1230676,-94.38195,38.94175
"Saint Luke's East Hospital","OXYCODONE-ACETAMINOPHEN 5 MG-325 MG TABLET",10.65,"100 NE St Lukes Blvd, Lee's Summit, MO, 64086",64086,"Lee's Summit",184,NA,51826,1230676,-94.38195,38.94175
"Saint Luke's East Hospital","OXYCODONE-ACETAMINOPHEN 5 MG-325 MG TABLET",10.67,"100 NE St Lukes Blvd, Lee's Summit, MO, 64086",64086,"Lee's Summit",184,NA,51826,1230676,-94.38195,38.94175
"Saint Luke's East Hospital","OXYCODONE-ACETAMINOPHEN 7.5 MG-325 MG TABLET",41.93,"100 NE St Lukes Blvd, Lee's Summit, MO, 64086",64086,"Lee's Summit",184,NA,51826,1230676,-94.38195,38.94175
"Saint Luke's East Hospital","OXYCODONE-ACETAMINOPHEN 7.5 MG-325 MG TABLET",42,"100 NE St Lukes Blvd, Lee's Summit, MO, 64086",64086,"Lee's Summit",184,NA,51826,1230676,-94.38195,38.94175
"Saint Luke's East Hospital","OXYCODONE-ACETAMINOPHEN 10 MG-325 MG TABLET",49.62,"100 NE St Lukes Blvd, Lee's Summit, MO, 64086",64086,"Lee's Summit",184,NA,51826,1230676,-94.38195,38.94175
"Saint Luke's East Hospital","OXYCODONE-ACETAMINOPHEN 10 MG-325 MG TABLET",49.62,"100 NE St Lukes Blvd, Lee's Summit, MO, 64086",64086,"Lee's Summit",184,NA,51826,1230676,-94.38195,38.94175
"Saint Luke's East Hospital","HYDROCODONE 7.5 MG-ACETAMINOPHEN 325 MG TABLET",11.09,"100 NE St Lukes Blvd, Lee's Summit, MO, 64086",64086,"Lee's Summit",184,NA,51826,1230676,-94.38195,38.94175
"Saint Luke's East Hospital","BUTALBITAL-ACETAMINOPHEN-CAFFEINE 50 MG-325 MG-40 MG TABLET",7.52,"100 NE St Lukes Blvd, Lee's Summit, MO, 64086",64086,"Lee's Summit",184,NA,51826,1230676,-94.38195,38.94175
"Saint Luke's East Hospital","MAPAP (ACETAMINOPHEN) 325 MG TABLET",0.13,"100 NE St Lukes Blvd, Lee's Summit, MO, 64086",64086,"Lee's Summit",184,NA,51826,1230676,-94.38195,38.94175
"Saint Luke's East Hospital","HYDROCODONE 7.5 MG-ACETAMINOPHEN 325 MG TABLET",9.85,"100 NE St Lukes Blvd, Lee's Summit, MO, 64086",64086,"Lee's Summit",184,NA,51826,1230676,-94.38195,38.94175
"Saint Luke's East Hospital","HYDROCODONE 5 MG-ACETAMINOPHEN 325 MG TABLET",8.94,"100 NE St Lukes Blvd, Lee's Summit, MO, 64086",64086,"Lee's Summit",184,NA,51826,1230676,-94.38195,38.94175
"Saint Luke's East Hospital","TYLENOL EXTRA STRENGTH 500 MG TABLET",0.13,"100 NE St Lukes Blvd, Lee's Summit, MO, 64086",64086,"Lee's Summit",184,NA,51826,1230676,-94.38195,38.94175
"Saint Luke's East Hospital","TYLENOL EXTRA STRENGTH 500 MG TABLET",0.13,"100 NE St Lukes Blvd, Lee's Summit, MO, 64086",64086,"Lee's Summit",184,NA,51826,1230676,-94.38195,38.94175
"Saint Luke's East Hospital","TYLENOL EXTRA STRENGTH 500 MG TABLET",0.13,"100 NE St Lukes Blvd, Lee's Summit, MO, 64086",64086,"Lee's Summit",184,NA,51826,1230676,-94.38195,38.94175
"Saint Luke's East Hospital","TYLENOL 325 MG TABLET",0.13,"100 NE St Lukes Blvd, Lee's Summit, MO, 64086",64086,"Lee's Summit",184,NA,51826,1230676,-94.38195,38.94175
"Saint Luke's East Hospital","HYDROCODONE 5 MG-ACETAMINOPHEN 325 MG TABLET",8.33,"100 NE St Lukes Blvd, Lee's Summit, MO, 64086",64086,"Lee's Summit",184,NA,51826,1230676,-94.38195,38.94175
"Saint Luke's East Hospital","HYDROCODONE 7.5 MG-ACETAMINOPHEN 325 MG TABLET",9.54,"100 NE St Lukes Blvd, Lee's Summit, MO, 64086",64086,"Lee's Summit",184,NA,51826,1230676,-94.38195,38.94175
"Saint Luke's East Hospital","HYDROCODONE 10 MG-ACETAMINOPHEN 325 MG TABLET",10.05,"100 NE St Lukes Blvd, Lee's Summit, MO, 64086",64086,"Lee's Summit",184,NA,51826,1230676,-94.38195,38.94175
"Saint Luke's East Hospital","ACETAMINOPHEN 325 MG TABLET",0.13,"100 NE St Lukes Blvd, Lee's Summit, MO, 64086",64086,"Lee's Summit",184,NA,51826,1230676,-94.38195,38.94175
"Saint Luke's East Hospital","OXYCODONE-ACETAMINOPHEN 5 MG-325 MG TABLET",10.24,"100 NE St Lukes Blvd, Lee's Summit, MO, 64086",64086,"Lee's Summit",184,NA,51826,1230676,-94.38195,38.94175
"Saint Luke's East Hospital","ACETAMINOPHEN 300 MG-CODEINE 30 MG TABLET",12.02,"100 NE St Lukes Blvd, Lee's Summit, MO, 64086",64086,"Lee's Summit",184,NA,51826,1230676,-94.38195,38.94175
"Saint Luke's East Hospital","ACETAMINOPHEN 300 MG-CODEINE 30 MG TABLET",12.06,"100 NE St Lukes Blvd, Lee's Summit, MO, 64086",64086,"Lee's Summit",184,NA,51826,1230676,-94.38195,38.94175
"Saint Luke's East Hospital","BUTALBITAL-ACETAMINOPHEN-CAFFEINE 50 MG-325 MG-40 MG TABLET",24.6,"100 NE St Lukes Blvd, Lee's Summit, MO, 64086",64086,"Lee's Summit",184,NA,51826,1230676,-94.38195,38.94175
"Saint Luke's East Hospital","OXYCODONE-ACETAMINOPHEN 7.5 MG-325 MG TABLET",37.34,"100 NE St Lukes Blvd, Lee's Summit, MO, 64086",64086,"Lee's Summit",184,NA,51826,1230676,-94.38195,38.94175
"Saint Luke's East Hospital","OXYCODONE-ACETAMINOPHEN 10 MG-325 MG TABLET",44.56,"100 NE St Lukes Blvd, Lee's Summit, MO, 64086",64086,"Lee's Summit",184,NA,51826,1230676,-94.38195,38.94175
