"HospitalName","Description","Price","Address","Zip","City","StaffedBeds","TotalDischarges","PatientDays","GrossPatientRevenue","long","lat"
"Bothwell Regional Health Center","3SW-ROOM CHARGE",1147,"601 East 14th Street, Sedalia, MO, 65301",65301,"Sedalia",122,NA,15954,315040,-93.22264,38.699062
"Bothwell Regional Health Center","LD-EXAM ROOM",125,"601 East 14th Street, Sedalia, MO, 65301",65301,"Sedalia",122,NA,15954,315040,-93.22264,38.699062
"Bothwell Regional Health Center","LD-Recovery Room 1st Hour",540,"601 East 14th Street, Sedalia, MO, 65301",65301,"Sedalia",122,NA,15954,315040,-93.22264,38.699062
"Bothwell Regional Health Center","CCU-Non-CCU Room Rate",1770,"601 East 14th Street, Sedalia, MO, 65301",65301,"Sedalia",122,NA,15954,315040,-93.22264,38.699062
"Bothwell Regional Health Center","CCU-Recovery Room 1st Hour",567,"601 East 14th Street, Sedalia, MO, 65301",65301,"Sedalia",122,NA,15954,315040,-93.22264,38.699062
"Bothwell Regional Health Center","PCU-Non-PCU Room Rate",972,"601 East 14th Street, Sedalia, MO, 65301",65301,"Sedalia",122,NA,15954,315040,-93.22264,38.699062
"Bothwell Regional Health Center","PAR-Recovery Room",627,"601 East 14th Street, Sedalia, MO, 65301",65301,"Sedalia",122,NA,15954,315040,-93.22264,38.699062
"Bothwell Regional Health Center","PAR-Recovery Room-No Anest",137,"601 East 14th Street, Sedalia, MO, 65301",65301,"Sedalia",122,NA,15954,315040,-93.22264,38.699062
"Bothwell Regional Health Center","PAR-Procedure Room",213,"601 East 14th Street, Sedalia, MO, 65301",65301,"Sedalia",122,NA,15954,315040,-93.22264,38.699062
"Bothwell Regional Health Center","SDS-Procedure Room",221,"601 East 14th Street, Sedalia, MO, 65301",65301,"Sedalia",122,NA,15954,315040,-93.22264,38.699062
"Bothwell Regional Health Center","ER-EMERG ROOM LEVEL 1",294,"601 East 14th Street, Sedalia, MO, 65301",65301,"Sedalia",122,NA,15954,315040,-93.22264,38.699062
"Bothwell Regional Health Center","ER-EMERG ROOM LEVEL 2",483,"601 East 14th Street, Sedalia, MO, 65301",65301,"Sedalia",122,NA,15954,315040,-93.22264,38.699062
"Bothwell Regional Health Center","ER-EMERG ROOM LEVEL 3",865,"601 East 14th Street, Sedalia, MO, 65301",65301,"Sedalia",122,NA,15954,315040,-93.22264,38.699062
"Bothwell Regional Health Center","ER-EMERG ROOM LEVEL 4",1276,"601 East 14th Street, Sedalia, MO, 65301",65301,"Sedalia",122,NA,15954,315040,-93.22264,38.699062
"Bothwell Regional Health Center","ER-EMERG ROOM LEVEL 5",2007,"601 East 14th Street, Sedalia, MO, 65301",65301,"Sedalia",122,NA,15954,315040,-93.22264,38.699062
"Bothwell Regional Health Center","ER-HOLD ROOM",1098,"601 East 14th Street, Sedalia, MO, 65301",65301,"Sedalia",122,NA,15954,315040,-93.22264,38.699062
"Bothwell Regional Health Center","2N-NORTH ROOM CHARGE",976,"601 East 14th Street, Sedalia, MO, 65301",65301,"Sedalia",122,NA,15954,315040,-93.22264,38.699062
"Bothwell Regional Health Center","RH-REHAB ROOM CHARGE",782,"601 East 14th Street, Sedalia, MO, 65301",65301,"Sedalia",122,NA,15954,315040,-93.22264,38.699062
"Bothwell Regional Health Center","SN-SKILLED UNIT ROOM CHARGE",545,"601 East 14th Street, Sedalia, MO, 65301",65301,"Sedalia",122,NA,15954,315040,-93.22264,38.699062
"Bothwell Regional Health Center","X-PROCEDURE ROOM CHG",693,"601 East 14th Street, Sedalia, MO, 65301",65301,"Sedalia",122,NA,15954,315040,-93.22264,38.699062
"Citizens Memorial Hospital","Private Room",885,"1500 North Oakland Avenue, Bolivar, MO, 65613",65613,"Bolivar",72,NA,8966,378182,-93.42094,37.626537
"Citizens Memorial Hospital","Private Room W/Cardiac Monitor",1315,"1500 North Oakland Avenue, Bolivar, MO, 65613",65613,"Bolivar",72,NA,8966,378182,-93.42094,37.626537
"Citizens Memorial Hospital","Swing-Bed Room",445,"1500 North Oakland Avenue, Bolivar, MO, 65613",65613,"Bolivar",72,NA,8966,378182,-93.42094,37.626537
"Citizens Memorial Hospital","Ob Pvt Room",885,"1500 North Oakland Avenue, Bolivar, MO, 65613",65613,"Bolivar",72,NA,8966,378182,-93.42094,37.626537
"Citizens Memorial Hospital","Semi-Private Room",885,"1500 North Oakland Avenue, Bolivar, MO, 65613",65613,"Bolivar",72,NA,8966,378182,-93.42094,37.626537
"Citizens Memorial Hospital","Semi Private Room W/Card Monit",1315,"1500 North Oakland Avenue, Bolivar, MO, 65613",65613,"Bolivar",72,NA,8966,378182,-93.42094,37.626537
"Citizens Memorial Hospital","Ob Semi-Pvt Room",885,"1500 North Oakland Avenue, Bolivar, MO, 65613",65613,"Bolivar",72,NA,8966,378182,-93.42094,37.626537
"Citizens Memorial Hospital","Isolation Room",885,"1500 North Oakland Avenue, Bolivar, MO, 65613",65613,"Bolivar",72,NA,8966,378182,-93.42094,37.626537
"Citizens Memorial Hospital","Intensive Care Room",2590,"1500 North Oakland Avenue, Bolivar, MO, 65613",65613,"Bolivar",72,NA,8966,378182,-93.42094,37.626537
"Citizens Memorial Hospital","Injectate System Room Temp",198,"1500 North Oakland Avenue, Bolivar, MO, 65613",65613,"Bolivar",72,NA,8966,378182,-93.42094,37.626537
"Citizens Memorial Hospital","Op Treatment Room",155.75,"1500 North Oakland Avenue, Bolivar, MO, 65613",65613,"Bolivar",72,NA,8966,378182,-93.42094,37.626537
"Liberty Hospital","CL TREATMENT ROOM NEW PT",113,"2525 Glenn Hendren Drive, Liberty, MO, 64068",64068,"Liberty",207,NA,32034,629356,-94.42488,39.276436
"Liberty Hospital","PV TREATMENT ROOM NEW",121,"2525 Glenn Hendren Drive, Liberty, MO, 64068",64068,"Liberty",207,NA,32034,629356,-94.42488,39.276436
"Liberty Hospital","PV TREATMENT ROOM EST",116,"2525 Glenn Hendren Drive, Liberty, MO, 64068",64068,"Liberty",207,NA,32034,629356,-94.42488,39.276436
"Liberty Hospital","2E MED SURG ROOM",1295,"2525 Glenn Hendren Drive, Liberty, MO, 64068",64068,"Liberty",207,NA,32034,629356,-94.42488,39.276436
"Liberty Hospital","3E MED SURG ROOM",1295,"2525 Glenn Hendren Drive, Liberty, MO, 64068",64068,"Liberty",207,NA,32034,629356,-94.42488,39.276436
"Liberty Hospital","4S MED SURG ROOM",1295,"2525 Glenn Hendren Drive, Liberty, MO, 64068",64068,"Liberty",207,NA,32034,629356,-94.42488,39.276436
