"HospitalName","Description","Price","Address","Zip","City","StaffedBeds","TotalDischarges","PatientDays","GrossPatientRevenue","long","lat"
"Bothwell Regional Health Center","CSR-SYRINGE SALINE SF 12CC 10M",4,"601 East 14th Street, Sedalia, MO, 65301",65301,"Sedalia",122,NA,15954,315040,-93.22264,38.699062
"Bothwell Regional Health Center","L-RED BLOOD CELLS(SALINE)",481,"601 East 14th Street, Sedalia, MO, 65301",65301,"Sedalia",122,NA,15954,315040,-93.22264,38.699062
"Bothwell Regional Health Center","SALINEX .65% NASAL MIST",18,"601 East 14th Street, Sedalia, MO, 65301",65301,"Sedalia",122,NA,15954,315040,-93.22264,38.699062
"Bothwell Regional Health Center","Normal Saline 1000cc",30,"601 East 14th Street, Sedalia, MO, 65301",65301,"Sedalia",122,NA,15954,315040,-93.22264,38.699062
"Citizens Memorial Hospital","Kyphon Lumbar Saline Gun",721.5,"1500 North Oakland Avenue, Bolivar, MO, 65613",65613,"Bolivar",72,NA,8966,378182,-93.42094,37.626537
"Citizens Memorial Hospital","Kyphon Thoracic Saline Gun",721.5,"1500 North Oakland Avenue, Bolivar, MO, 65613",65613,"Bolivar",72,NA,8966,378182,-93.42094,37.626537
"Citizens Memorial Hospital","sterile field saline flush 10 ML SYRINGE",5,"1500 North Oakland Avenue, Bolivar, MO, 65613",65613,"Bolivar",72,NA,8966,378182,-93.42094,37.626537
"Citizens Memorial Hospital","hypertonic saline 3% 100 ML IV.SOLN",10,"1500 North Oakland Avenue, Bolivar, MO, 65613",65613,"Bolivar",72,NA,8966,378182,-93.42094,37.626537
"Citizens Memorial Hospital","hypertonic saline 3% 100 ML IV.SOLN",5,"1500 North Oakland Avenue, Bolivar, MO, 65613",65613,"Bolivar",72,NA,8966,378182,-93.42094,37.626537
"Liberty Hospital","SALINE IRRIGATION BTL",9,"2525 Glenn Hendren Drive, Liberty, MO, 64068",64068,"Liberty",207,NA,32034,629356,-94.42488,39.276436
"Liberty Hospital","NORMAL SALINE 5000 BAG",98,"2525 Glenn Hendren Drive, Liberty, MO, 64068",64068,"Liberty",207,NA,32034,629356,-94.42488,39.276436
"Liberty Hospital","TUR SALINE 3000CC BG",31,"2525 Glenn Hendren Drive, Liberty, MO, 64068",64068,"Liberty",207,NA,32034,629356,-94.42488,39.276436
"Liberty Hospital","SOLUTION NORMAL SALINE",12,"2525 Glenn Hendren Drive, Liberty, MO, 64068",64068,"Liberty",207,NA,32034,629356,-94.42488,39.276436
"Liberty Hospital","SALINE NASAL SPRAY  45ML",3,"2525 Glenn Hendren Drive, Liberty, MO, 64068",64068,"Liberty",207,NA,32034,629356,-94.42488,39.276436
"Liberty Hospital","AYR SALINE GEL .05OZ",3,"2525 Glenn Hendren Drive, Liberty, MO, 64068",64068,"Liberty",207,NA,32034,629356,-94.42488,39.276436
"Liberty Hospital","0.45% SALINE 500ML",26,"2525 Glenn Hendren Drive, Liberty, MO, 64068",64068,"Liberty",207,NA,32034,629356,-94.42488,39.276436
"Moberly Regional Medical Center","SALINE.65%NAS SP 45M",8.8,"1515 Union Avenue, Moberly, MO, 65270",65270,"Moberly",56,985,2925,223976,-92.414085,39.423843
"Moberly Regional Medical Center","NORM SALINE 250ML IV",320,"1515 Union Avenue, Moberly, MO, 65270",65270,"Moberly",56,985,2925,223976,-92.414085,39.423843
"Mosaic Life Care at Saint Joseph - Medical Center","STERILE NORM. SALINE",23,"5325 Faraon Street, Saint Joseph, MO, 64506",64506,"Saint Joseph",352,NA,70520,1235235,-94.77176,39.770138
"Mosaic Life Care at Saint Joseph - Medical Center","SALINE NASAL DROPS (NASAL)45ML",1.84,"5325 Faraon Street, Saint Joseph, MO, 64506",64506,"Saint Joseph",352,NA,70520,1235235,-94.77176,39.770138
"Mosaic Life Care at Saint Joseph - Medical Center","LEVALBUTEROL 1.25MG SALINE BUL",11.02,"5325 Faraon Street, Saint Joseph, MO, 64506",64506,"Saint Joseph",352,NA,70520,1235235,-94.77176,39.770138
"Mosaic Life Care at Saint Joseph - Medical Center","1/2 NORMAL SALINE 1000ML",63,"5325 Faraon Street, Saint Joseph, MO, 64506",64506,"Saint Joseph",352,NA,70520,1235235,-94.77176,39.770138
"North Kansas City Hospital","BB Bill Saline Rplmt Reference",46,"2800 Clay Edwards Drive, North Kansas City, MO, 64116",64116,"North Kansas City",413,NA,88996,1716388,-94.55008,39.14959
"North Kansas City Hospital","NS 10mL IS(Saline Flush Lock Syr)",25,"2800 Clay Edwards Drive, North Kansas City, MO, 64116",64116,"North Kansas City",413,NA,88996,1716388,-94.55008,39.14959
"North Kansas City Hospital","Saline Enema 133mL",0,"2800 Clay Edwards Drive, North Kansas City, MO, 64116",64116,"North Kansas City",413,NA,88996,1716388,-94.55008,39.14959
"North Kansas City Hospital","Saline Enema for Children 66mL",10.6,"2800 Clay Edwards Drive, North Kansas City, MO, 64116",64116,"North Kansas City",413,NA,88996,1716388,-94.55008,39.14959
"North Kansas City Hospital","Wet Prep Saline",83,"2800 Clay Edwards Drive, North Kansas City, MO, 64116",64116,"North Kansas City",413,NA,88996,1716388,-94.55008,39.14959
"Northeast Regional Medical Center","SALINE.65%NAS SP 45M",7.4,"315 South Osteopathy, Kirksville, MO, 63501",63501,"Kirksville",73,NA,9047,320798,-92.59086,40.19272
