Price List: SE Health Price List,,
Service Name,Procedure Code,Price ($)
10005 FNA BX W/US GDN 1ST LES,10005,1738.02
10007 FNA BX W/FLUOR GDN 1ST LES,10007,1738.02
10009 FNA BX W/CT GDN 1ST LES,10009,1738.02
10011 FNA BX W/MR GDN 1ST LES,10011,1738.02
Fine Needle Aspir w/o Image Guidance,10021,485.33
CT Biopsy Disc,10022,1098.03
Fine Needle Asp W Imaging,10022,768.63
Perc Soft Tissue Guided Cath Fluid Drainage,10030,527.05
I&d Abscess  Simple/single,10060,558.01
WC - I&d Abscess  Simple/single,10060,558.01
Bedside - I&d Abscess  Simple/Single,10060,558.26
I&d Abscess  Comp/multi,10061,670.29
WC - I&d Abscess  Comp/multi,10061,670.29
Bedside - I&d Abscess  Comp/multi,10061,658.82
BEDSIDE - I&D ABSCESS SIMPLE/SINGLE,10061,558.26
I&d Pilonidal Cyst  Simple,10080,226.28
I&d Pilonidal Cyst  Comp,10081,746.04
Incision/rem Fb Subq Simple,10120,450.54
WC - Incision/rem Fb Subq Simple,10120,450.54
ER I&D of Hematoma: Simple,10140,1133.38
US Guided Abd Fluid Drainage,10140,1866.66
I&D Hematoma/Seroma/Blister,10140,1374.62
CT Guided Abd Fluid Drainage,10160,3294.09
Asp Absc/Hema/Cyst/Bulla,10160,549.02
Puncture Aspiration of Abscess,10160,244.99
I&D Complex Post-OP WOund Inf,10180,1155.47
Debridement of Infected Skin,11000,493.29
Debridement Addl 10% Body Sur,11001,386.25
Debride Skin Fx,11010,1174.33
Debride Skin/Muscle Open Fx,11011,227.87
Debride Skin/Muscle/Bone Fx,11012,1255.72
Dbrd Skin/tissue <20sq Cm,11042,1068.39
WC - Dbrd Skin/tissue <20sq Cm,11042,1458.13
Debridement Tissue/Muscle <20SQ CM,11043,1068.39
Debrd Tissue/Muscle <20 Sq cm,11043,1021.17
Debrd Tissue/Muscle/Bne <20 Sq cm,11044,2032.05
Debride Tissue/Muscle/Bone,11044,3527.09
Dbrd Skn/Tissue Ea Addl 20sq cm,11045,1401.90
Debride Tissue/Muscle Ea Addl 20sq CM,11046,1032.26
Trim Skin Lesion,11055,121.55
Biopsy - Skin Lesion,11100,243.13
Biopsy of  Skin - Single Lesion,11100,675.30
TANGNTL BX SKIN SINGLE LES,11102,942.24
PUNCH BX SKIN SINGLE LESION,11104,529.35
INCAL BX SKN SINGLE LES,11106,529.35
Removal Skin Tags <= 15 Lesions,11200,45.85
Exc Lesn Bgn Trunk/Arm <0.5 cm,11400,386.73
Exc Lesn Bgn Trnk/arm .6-1.0cm,11401,399.50
Exc Lesn Bgn Trunk/Arm 1.1-2.0,11402,643.96
Excision Bioposy Level II Tc,11403,451.29
Exc Lesn Bgn Trunk/Arm 3.1-4.0,11404,1477.51
Exc Lesn Bgn Trun/Arm >4.0cm,11406,1702.43
Exc Lesn Bgn Scalp/Hand <0.5cm,11420,795.80
Exc Lesn Bgn Sclp/Hnd .6-1.0cm,11421,776.00
Exc Lesn Bgn Scalp/Hnd 1.1-2.0,11422,715.05
Exc Lesn Bgn Scalp/hnd 2.1-3.0,11423,1339.94
Exc Lesn Bgn Scalp/Hnd 3.1-4.0,11424,1633.23
Exc Lesn Bgn Scalp/Hnd >4.0cm,11426,2213.42
Exc Lesn Bgn Face/Ear <0.5cm,11440,719.23
Exc Lesn Bgn Face/Ear .6-1.0cm,11441,481.60
Exc Lesn Bgn Face/Ear 1.1-2.0cm,11442,649.87
Exc Lesn Bgn Face/Ear 2.1-3.0cm,11443,738.63
Exc Lesn Bgn Face/Ear 3.1-4.0cm,11444,916.86
Exc Lesn Bgn Face/Ear >4.0cm,11446,1814.65
Debride Nail 1-5,11720,200.94
Debridement of nail(s) 1-5 - Bedside,11720,273.41
Debr Nail (s) 6 or more,11721,118.84
Avul Of Nail Plate Single,11730,352.93
WC - Avul Of Nail Plate Single,11730,352.93
Avul of Nail Plate Ea Add TC,11732,29.47
Evacuation-subungual Hematoma,11740,197.84
Excision of Nail/Matrix,11750,747.92
Excision Nail and Matrix,11750,960.37
Repair Of Nail Bed,11760,67.37
Wedge Excision Skin Nail Fold,11765,276.70
Inj Intralesional < 7 Lesions,11900,207.19
Wound Repair-simple: =<2.5cm,12001,281.55
Wound Repair-simple: 2.6-7.5cm,12002,463.06
Wound Repair Simpl:7.6-12.5cm,12004,605.22
Wound Repair Simple:12.6-20cm,12005,809.97
Wound Repair Simple: 20.1-30cm,12006,925.05
Simpl Repair Superficial Wound,12007,486.51
Face Wounds Simple:=<2.5cm,12011,338.53
Face Wounds Simple: 2.6-5cm,12013,607.56
Face Wounds Simple: 5.1-7.5cm,12014,528.43
Face Wounds Simple: 7.6-12.5cm,12015,748.90
Face Wounds SImple 12.6-20cm,12016,901.83
Face Wounds Simple 20.1-30cm,12017,1091.01
Repair Lac Simple Face > 30.0cm,12018,346.99
Superficial Wound Dehiscence,12020,185.75
Closure Wound Dehiscence Simple,12020,1098.03
Superf Wound Dehiscence w/Pack,12021,403.56
Wound Repair Interm:=<2.5cm S/a/t/ext,12031,301.92
Wound Repair Interm:2.6-7.5cm S/a/t/ext,12032,491.29
Wound Repair Interm:7.6-12.5cm S/a/t/ext,12034,618.49
Wound Repair Interm:12.6-20cm S/a/t/ext,12035,721.28
Wound Repair Interm:20.1-30cm S/a/t/ext,12036,946.78
Layer Closure Wounds Over 30cm,12037,701.68
Wound Repair Interm:=<2.5cm,12041,581.06
Wound Repair Interm:2.6-7.5cm,12042,785.47
Wound Repair Interm:7.6-12.5cm,12044,971.67
Wound Repair Interm 12.6-20cm,12045,1123.44
Layer Closure WOund Over 30cm,12047,859.27
Face Wound Interm: =<2.5cm,12051,553.59
Face Wound Interm: 2.6-5.0cm,12052,730.88
Face Wound Interm: 5.1-7.5cm,12053,1008.37
Face Wound Interm: 7.6-12.5cm,12054,1240.13
Face Wound Interm 12.6-20cm,12055,1365.41
Face Wound Interm 20.1-30cm,12056,295.64
Repair Lac Int Face >30.0cm,12057,800.29
Repair Complex Trunk 1.2-2.5 cm,13100,366.96
Repair Wound Trunk Complex TC,13101,537.60
Prp Lac CPlx Trunk Add 5.0cm,13102,753.72
Repair Complex: 1.1-2.5cm Scalp/arms/legs,13120,347.65
Repair Complex: 2.6-7.5cm Scalp/arms/legs,13121,493.06
Rpr Lac Cplx Scalp Add 5.0cm,13122,307.15
Repair Complex: 1.1-2.5cm,13131,550.83
Repair Complex: 2.6-7.5cm,13132,482.49
Repair Wound Each Addl 5cm or less,13133,195.48
Repair Complex: 1.1-2.5cm Eye/nose/ears/lips,13151,462.05
Rpr Lac Cplx Eye 2.6-7.5cm,13152,1477.60
Rpr Lac Cpllx Eye Add 5cm,13153,306.85
Graft Pinch Sgl/mult < 2cm,15050,2027.68
Graft Skin Subs Trunk/Arms/Legs <=100sq cm,15271,4517.30
Grft Sin HI Sub Trunk/Arms/Legs <=100sq cm Add-on,15272,2258.66
Grft Skn HI Sub Trnk/Arm/Leg >/=100sq cm,15273,7444.65
Grft Skn HI Sub Trnk/Arm/Leg >/= ea addl 100sq cm,15274,3722.33
Grft Skn HI Sub Fce/Sclp/Ear </= 100sqcm,15275,4517.30
Grft Skn HI Subs Fce/Sclp/Ear Ea Addl 25 cm,15276,2258.66
Grft Skn HI Sub Fce/Sclp/Ers >/= 100sqcm,15277,4517.30
Graft Skin HI Subs Face/Scalp >/= 100sq cm ea addl,15278,2258.66
Burns Initial Trmt 1st Degree,16000,213.98
Burns Dressing/debride-small,16020,391.77
Burns Dressing/Debridment - Small,16020,391.77
Burns Dressing/debride-med,16025,554.00
WC - Burns Dressing/debride-med,16025,554.00
Burns Dressing/debride-large,16030,968.45
WC - Burns Dressing/debride-large,16030,535.33
Eschartomy,16035,655.41
Chemical Cautery  Tissue,17250,302.86
Unlisted Procedure Skin Tissue,17999,197.65
Puncture Aspiration of Cyst - Breast,19000,1098.03
Puncture Aspir of Cyst Breast,19000,1098.03
Puncture Aspiration of Cyst/Br,19000,429.87
Puncture Aspiration Cyst Breast LT,19000,1098.03
Puncture Aspiration Cyst Breast RT,19000,1098.03
Puncture Aspiration Cyst: Breast - Ea Addl Cyst,19001,601.53
US Guided Breast Abcess Drain,19020,2854.88
Injection for Mammary Ductogram,19030,584.67
Biopsy Breast 1st Lesion Stereotactic Guidance,19081,2312.45
Biopsy Breast 1st Lesion Stereotactic Guidance,19081,2312.45
Biopsy Breast 1st Lesion Stereotactic Guidance - BIL,19081,3468.69
Biopsy Breast Addl Lesion Stereotactic Guidance - RT,19082,1734.89
Biopsy Breast Addl Lesion Stereotactic Guidance - LT,19082,1734.89
Biopsy Breast Addl Lesion Stereotactic Guidance - Bil,19082,2602.34
Biopsy Breast 1st Lesion US Guidance - RT,19083,2312.45
Biopsy Breast 1st Lesion US Guidance - LT,19083,2312.45
Biopsy Breast 1st Lesion US Guidance - Bil,19083,3468.69
Biopsy Breast Addl Lesion US Guidance - RT,19084,1734.89
Biopsy Breast Addl Lesion US Guidance - LT,19084,1734.89
Biopsy Breast Addl Lesion US Guidance - Bil,19084,2602.34
Biopsy Breast 1st Lesion MRI Guidance - RT,19085,2312.45
Biopsy Breast 1st Lesion MRI Guidance - LT,19085,2312.45
Biopsy Breast 1st Lesion MRI Guidance - Bil,19085,3468.69
Biopsy Breast Addl Lesion MRI Guidance - RT,19086,1734.89
Biopsy Breast Addl Lesion MRI Guidance - LT,19086,1734.89
Biopsy Breast Addl Lesion MRI Guidance - Bil,19086,2602.34
Biopsy Breast Needle Core,19100,1098.03
Perc Device Breast w/ Mamm Guidance - RT,19281,323.92
Perc Device Breast 1st Lesion w/ Mamm Guidance - LT,19281,323.92
Perc Device Breast 1st Lesion w/ Mamm Guidance - Bil,19281,485.33
Perc Device Breast w/ Mamm Guidance Addl Lesion - RT,19282,242.67
Perc Device Breast Addl Lesion w/ Mamm Guidance - LT,19282,242.67
Perc Device Breast Addl Lesion w/ Mamm Guidance - Bil,19282,363.99
Perc Device Breast 1st Lesion Stereotactic Guidance - RT,19283,323.92
Perc Device Breast 1st Lesion Stereotactic Guidance - LT,19283,323.92
Perc Device Breast 1st Lesion Stereotactic Guidance - Bil,19283,485.88
Perc Device Breast Addl Lesion Stereotactic Guidance - RT,19284,242.67
Perc Device Breast Addl Lesion Stereotactic Guidance - LT,19284,242.67
Perc Device Breast Addl Lesion Stereotactic Guidance - Bil,19284,363.99
Perc Device Breast 1st Lesion US Guidance - RT,19285,323.92
Perc Device Breast 1st Lesion US Guidance - LT,19285,323.92
Perc Device Breast 1st Lesion US Guidance - Bil,19285,485.88
Perc Device Breast Addl Lesion US Guidance - RT,19286,242.67
Perc Device Breast Addl Lesion US Guidance - LT,19286,242.67
Perc Device Breast Addl Lesion US Guidance - Bil,19286,363.99
Perc Device Breast 1st Lesion MRI Guidance - RT,19287,323.92
Perc Device Breast 1st Lesion MRI Guidance - LT,19287,323.92
Perc Device Breast 1st Lesion MRI Guidance - Bil,19287,485.88
Perc Device Breast Addl Lesion MRI Guidance - RT,19288,242.67
Perc Device Breast Addl Lesion MRI Guidance - LT,19288,242.67
Perc Device Breast Addl Lesion MRI Guidance -Bil,19288,363.99
Place Ndl Loc Breast Preop Bil,19290,1647.05
Incf Absc Soft Tiss Subfasc,20005,3087.66
Inc Absc Soft Tissue Deep Cplx,20005,3087.25
Pentr Wound Extremity,20103,2196.06
Explore Wound - Extremity,20103,644.01
Bx Muscle Needle Perc,20206,1647.05
CT Bone Biopsy,20220,1647.05
Bx Bone Needle Deep,20225,2635.28
Bone Biopsy Open Superficial,20240,7183.85
Bone Biopsy Excisional,20245,7183.85
Inj Tract Sinus Thrpy,20500,1098.03
Inj Tract Sinogram,20501,1098.03
Remove FB in Muscle - Simple,20520,263.66
Remove FB in Muscle - Complicated,20525,469.14
US Injection Carpal Tunnel,20526,633.45
Inj Single Tendon/Ligament,20550,658.82
Injection Tendon Sheath Ligament,20550,215.99
Injection Single Tendon Origin/Insert,20551,230.69
Injection Single Tendon Sheath Origin - US,20551,633.45
CT Inj Trigger Point 1/2 Muscl,20552,549.02
Inj Trigger Point 1/2 Muscl,20552,330.06
Trigger Point Injection(s),20552,260.95
CT Inj Trigger Point =/>3 Muscl,20553,549.02
Inj Trigger Point =/>3,20553,330.06
Injection Trigger Point 3+ Muscle Group,20553,440.86
Arthrocentesis Aspir/Inj Small,20600,392.09
Arthrocentesis Aspir/Inj - Small,20600,177.61
Drain / Inject Joint/Bursa w/o US - Bedside,20600,392.09
Arthrocentesis/Aspir/Inj-Inter,20605,392.09
Arthrocentesis/Aspir/Inj - Intermediate,20605,254.87
Arthrocent Asp/Inj Jt Major,20610,585.19
Arthrocnt Asp/Inj Jt Major Bil,20610,877.33
