Price List: SE Health Stoddard County Price List,,
Service Name,Procedure Code,Price ($)
FNA W/O IMAGE-PROFEE,10021,206.00
I&D ABSCESS SIMP,10060,211.00
DRAINAGE OF SKIN ABSCESS-PROFEE,10060,280.00
DRAINAGE OF SKIN ABSCESS-PROFEE,10061,520.00
DRAINAGE OF PILONIDAL CYST-PROFEE,10080,295.00
REMOVE FOREIGN BODY-PROFEE,10120,297.00
DRAINAGE OF HEMATOMA/FLUID-PROFEE,10140,343.00
PUNCTURE DRAINAGE OF LESION-PROFEE,10160,275.00
"COMPLEX DRAINAGE, WOUND-PROFEE",10180,519.00
DEBRIDE SKIN AND SUBQ TISSUE-PROFEE,11042,183.00
DEB SUBQ TISSUE ADD-ON-PROFEE,11045,79.00
REMOVAL OF SKIN TAGS-PROFEE,11200,210.00
DRAIN BLOOD FROM UNDER NAIL-PROFEE,11740,94.00
REPAIR OF NAIL BED-PROFEE,11760,330.00
EXCISION OF NAIL FOLD TOE-PROFEE,11765,269.00
WOUND REPAIR SIMP S/N/AX/GE/TR 2.5CM-FAC,12001,245.00
WOUND REPAIR SIMP S/N/AX/GE/TR 2.5CM-PRF,12001,141.00
REPAIR SUPERFICIAL WOUND/S-PROFEE,12001,132.00
REPAIR SUPERFICIAL WOUND/S-PROFEE,12002,175.00
REPAIR SUPERFICIAL WOUND/S-PROFEE,12004,219.00
REPAIR SUPERFICIAL WOUND/S-PROFEE,12005,286.00
REPAIR SUPERFICIAL WOUND/S-PROFEE,12006,351.00
REPAIR SUPERFICIAL WOUND/S-PROFEE,12007,441.00
REPAIR SUPERFICIAL WOUND/S-PROFEE,12011,165.00
REPAIR SUPERFICIAL WOUND/S-PROFEE,12013,175.00
REPAIR SUPERFICIAL WOUND'S-PROFEE,12014,226.00
REPAIR SUPERFICIAL WOUND/S-PROFEE,12015,284.00
CLOSURE OF SPLIT WOUND-PROFEE,12020,549.00
LAYER CLOSURE OF WOUND/S-PROFEE,12031,445.00
LAYER CLOSURE OF WOUND/S-PROFEE,12032,565.00
LAYER CLOSURE OF WOUND/S-PROFEE,12034,609.00
LAYER CLOSURE OF WOUND/S-PROFEE,12041,439.00
LAYER CLOSURE OF WOUND/S-PROFEE,12042,585.00
LAYER CLOSURE OF WOUND/S-PROFEE,12044,632.00
LAYER CLOSURE OF WOUND/S-PROFEE,12051,500.00
LAYER CLOSURE OF WOUND/S-PROFEE,12052,597.00
LAYER CLOSURE OF WOUND/S-PROFEE,12053,640.00
LAYER CLOSURE OF WOUND/S-PROFEE,12054,657.00
REPAIR WOUND/LESION ADD-ON-PROFEE,13122,256.00
REPAIR COMPLEX 2.6-7.5CM-PROFEE,13132,927.00
DRAINAGE OF BREAST LESION-PROFEE,19000,131.00
MM BREAST WIRE PLACE,19281,711.00
INCISION OF DEEP ABSCESS-PROFEE,20005,693.00
INJ TRIGGER POINT 1/2 MUSCL-PROFEE,20552,112.00
DRAIN/INJECT JOINT/BURSA-PROFEE,20600,106.00
DRAIN/INJECT JOINT BURSA-PROFEE,20605,112.00
DRAIN/INJECT JOINT/BURSA-PROFEE,20610,137.00
DRAIN SHOULDER LESION-PROFEE,23030,752.00
REMOVE SHOULDER FOREIGN BODY-PROFEE,23330,480.00
TREAT SHOULDER DISLOCATION-PROFEE,23650,828.00
DRAINAGE OF ARM LESION-PROFEE,23930,635.00
REMOVAL OF ARM FOREIGN BODY-PROFEE,24200,403.00
TREAT ELBOW DISLOCATION-PROFEE,24600,963.00
TREAT ELBOW DISLOCATION-PROFEE,24605,1357.00
TREAT ELBOW DISLOCATION-PROFEE,24640,227.00
TREAT RADIUS FRACTURE-PROFEE,24655,1141.00
REPAIR FOREARM TENDON/MUSCLE-PROFEE,25260,1827.00
TREAT FRACTURE OF RADIUS-PROFEE,25505,1305.00
TREAT FRACTURE RADUIS AND ULNA-PROFEE,25565,1343.00
TREAT FRACTURE RADIUS ULNA-PROFEE,25605,1447.00
DRAINAGE OF FINGER ABSESS-PROFEE,26010,394.00
TREAT FINGER DISLOCATION-PROFEE,26770,730.00
TREAT HIP DISLOCATION-PROFEE,27250,547.00
TREAT HIP DISLOCATION-PROFEE,27256,702.00
TREAT HIP DISLOCATION-PROFEE,27265,1156.00
TREAT HIP DISLOCATION-PROFEE,27265,1156.00
DRAIN THIGH/KNEE LESION-PROFEE,27301,1471.00
TREAT KNEE CAP DISLOCATION-PROFEE,27560,962.00
TREATMENT OF ANKLE FRACTURE-PROFEE,27818,1253.00
TREAT ANKLE DISLOCATION-PROFEE,27840,1071.00
REMOVAL OF FOOT FOREIGN BODY-PROFEE,28190,392.00
APPLY LONG ARM SPLINT-PROFEE,29105,173.00
APPLY FOREARM SPLINT-PROFEE,29125,115.00
APPLICATION LONG LEG SPLINT-PROFEE,29505,146.00
APPLICATION LOWER LEG SPLINT-PROFEE,29515,145.00
REMOVE NASAL FOREIGN BODY-PROFEE,30300,298.00
CONTROL OF NOSEBLEED-FACILITY,30901,315.00
CONTROL OF NOSEBLEED-PROFEE,30901,170.00
CONTROL OF NOSEBLEED-PROFEE,30905,313.00
INSERT EMERGENCY AIRWAY-PROFEE,31500,428.00
DIAGNOSTIC LARYNGOSCOPY-PROFEE,31505,140.00
SUCTION ENDOTRACHEAL,31720,74.00
NASOTRACHEAL SUCTION,31720,86.20
SUCTION NASOGASTRIC,31720,129.00
OPEN CHEST HEART MASSAGE-PROFEE,32160,2360.00
INSERT PLEURAL CATH-PROFEE,32550,626.00
INSERTION OF CHEST TUBE-PROFEE,32551,475.00
US USG THORACENTESIS,32555,742.00
DRAINAGE OF HEART SAC-PROFEE,33010,326.00
NON ROUTINE BL DRAW>3 YRS-PROFEE,36410,28.00
VENIPUNCTURE,36415,20.00
CAPILLARY PUNCTURE,36416,14.00
BB TRANSFUSION,36430,786.00
INSERT NON TUNNEL CV CATH-PROFEE,36556,292.00
BLOOD GAS PUNCTURE,36600,60.00
INSERTION CATHETER ARTERY-PROFEE,36620,134.00
"INSERT NEEDLE, BONE CAVITY-PROFEE",36680,178.00
IVC FILTER PLACEMENT,37191,3090.00
NM RAD TRACER SENT NODE,38792,650.00
PB NM RAD TRACER SENT NODE,38792,650.00
DRAINAGE OF MOUTH LESION-PROFEE,40800,376.00
DRAINAGE OF GUM LESION-PROFEE,41800,426.00
NG TUBE INSERT,43246,103.00
GASTRIC LAVAGE,43755,170.00
PEG TUBE CHANGE,43760,15.00
CHANGE GASTROSTOMY TUBE-PROFEE,43760,142.00
INCISION OF ANAL ABSCESS-PROFEE,46050,283.00
INCISE EXTERNAL HEMORRHOID-PROFEE,46083,312.00
REMOVAL OF HEMORRHOID CLOT-PROFEE,46320,327.00
US USG PARACENTESIS,49083,767.00
ABD PARACENTESIS-PROFEE,49083,326.00
INSERT URINE CATH,51701,88.00
INSERT BLADDER CATHETER-PROFEE,51701,77.00
INSERT TEMP BLADDER CATH-FACILITY,51702,315.00
INSERT TEMP BLADDER CATHPROFEE,51702,78.00
I & D OF VULVA/PERINEUM-PROFEE,56405,312.00
DRAINAGE OF GLAND ABSCESS-PROFEE,56420,264.00
HSG CATHETER/PROCEDU,58340,448.00
VAGINAL DELIVERY ONLY-PROFEE,59409,2445.00
LUMBAR PUNCTURE DIAGNOSTIC-PROFEE,62270,233.00
N BLOCK INJ TRIGEMINAL-PROFEE,64400,213.00
N BLOCK OTHER PERIPHERAL-PROFEE,64450,133.00
PT TENS APPLICATION,64550,41.00
REMOVE FOREIGN BODY FROM EYE-PROFEE,65205,128.00
REMOVE FOREIGN BODY FROM EYE-PROFEE,65210,154.00
REMOVE FOREIGN BODY FROM EYE-PROFEE,65220,124.00
REMOVE FOREIGN BODY FROM EYE-PROFEE,65222,152.00
DRAIN EXTERNAL EAR LESION-PROFEE,69000,341.00
CLEAR OUTER EARL CANAL-FACILITY,69200,315.00
CLEAR OUTER EARL CANAL-PROFEE,69200,139.00
REMOVE IMPACTED EAR WAX-PROFEE,69209,37.00
REMOVE IMPACTED EAR WAX-PROFEE,69210,98.00
MANDIBLE <4 VIEWS,70100,252.00
PB MANDIBLE <4 VIEWS,70100,252.00
MANDIBLE 4+ VIEWS,70110,330.00
MANDIBLE,70110,218.00
PB MANDIBLE 4+ VIEWS,70110,330.00
FACIAL BONES 3+ VIEW,70150,386.00
FACIAL 3+ VIEWS,70150,237.00
PB FACIAL BONES 3+ VIEW,70150,386.00
NASAL BONE,70160,330.00
NASEL,70160,186.00
PB NASAL BONE,70160,330.00
OPTIC FORAMINA,70190,308.00
PB OPTIC FORAMINA,70190,308.00
SINUS WATER'S VIEW,70210,201.00
SINUS WATER VIEWS,70210,173.00
PB SINUS WATER'S VIEW,70210,201.00
SINUSES 3+ VIEWS,70220,319.00
SINUSES 3+VIEWS,70220,116.00
PB SINUSES 3+ VIEWS,70220,319.00
SKULL <4 VIEWS,70250,304.00
PB SKULL <4 VIEWS,70250,304.00
SKULL 4+ VIEWS,70260,407.00
PB SKULL 4+ VIEWS,70260,407.00
TMJ BILATERAL,70330,372.00
PB TMJ BILATERAL,70330,372.00
MRI TMJ,70336,1775.00
PB MRI TMJ,70336,1775.00
NECK SOFT TISSUE,70360,237.00
NECK SOFT TISSUE,70360,143.00
PB NECK SOFT TISSUE,70360,237.00
CT HD/BRN W/O,70450,1425.00
HD/BRN W/O CONTRAST,70450,1069.00
HEAD W/O,70450,2007.00
PB CT HD/BRN W/O,70450,1425.00
CT HD/BRN W,70460,1763.00
PB CT HD/BRN W,70460,1763.00
HEAD/BRAIN W,70460,948.00
CT HD/BRN W/WO,70470,1655.00
HD/BRN W/O&W CONTRAS,70470,2138.00
PB CT HD/BRN W/WO,70470,1655.00
CT ORBIT/SELLA/POST FOSSA WO,70480,1414.00
ORBIT SELLA EAR WO,70480,1783.00
PB CT ORBIT WO,70480,1414.00
CT ORBIT W CONTRAST,70481,1763.00
PB CT ORBIT W CONTRAST,70481,1763.00
CT ORBIT W/WO,70482,1861.00
PB CT ORBIT W/WO,70482,1861.00
CT MAXILLO FACE W/O CON,70486,1425.00
CT SINUS W/O CONTRAST,70486,1425.00
MAXILLO FACE W/O CON,70486,1069.00
PB CT MAXILLO FACE W/O CON,70486,1425.00
PB CT SINUS W/O CONTRAST,70486,1425.00
CT SINUS W/O CONT LTD,70486,400.00
PB CT SINUS W/O CONT LTD,70486,400.00
CT MAXILLO FACE W CONT,70487,1763.00
PB CT MAXILLO FACE W CONT,70487,1763.00
CT MAXILLO FACE W/O & W,70488,1655.00
MAXILLOFACIAL SINUS,70488,2189.00
PB CT MAXILLO FACE W/O & W,70488,1655.00
CT NECK SOFT TISSUE W/O,70490,1522.00
SOFT TISSUE NECK W/O,70490,1437.00
PB CT NECK SOFT TISSUE W/O,70490,1522.00
CT NECK SOFT TISSUE W,70491,1675.00
S-T NECK W/CONTRAST,70491,1675.00
PB CT NECK SOFT TISSUE W,70491,1675.00
CT NECK SOFT TISSUE W/WO,70492,1861.00
SOFT TISSUE NECK,70492,2126.00
PB CT NECK SOFT TISSUE W/WO,70492,1861.00
CTA HD/BRN W/WO,70496,1861.00
CTA NECK  W CONTRAST,70498,1861.00
CAROTID NECK CTA,70498,1320.00
PB CT NECK CTA W/O & W,70498,1861.00
MRI MRI-ORB/FAC/NCK WO,70540,1723.65
PB MRI MRI-ORB/FAC/NCK WO,70540,1723.65
MRI MRI-ORB/FAC/NCK WITH,70542,1867.00
PB MRI MRI-ORB/FAC/NCK WITH,70542,1867.00
MRI OR/FCE/NCK W/O & W,70543,2072.00
OR/FCE/NCK W/O & W,70543,2363.00
PB MRI OR/FCE/NCK W/O & W,70543,2072.00
MRA HEAD W/O CONT,70544,1775.00
MRA OF HEAD,70544,2063.00
PB MRA HEAD W/O CONT,70544,1775.00
MRA HEAD W CONTRAST,70545,1923.00
PB MRA HEAD W CONTRAST,70545,1923.00
MRA HEAD W/O & W,70546,2072.00
PB MRA HEAD W/O & W,70546,2072.00
MRA NECK W/O CONT,70547,1775.00
PB MRA NECK W/O CONT,70547,1775.00
MRA NECK W/CONTRAST,70548,1923.00
PB MRA NECK W/CONTRAST,70548,1923.00
MRA NECK W/O & W,70549,2072.00
PB MRA NECK W/O & W,70549,2072.00
MRI BRAIN W/O CONTRAST,70551,1775.00
BRAIN W/O CONTRAST,70551,1631.00
PB MRI BRAIN W/O CONTRAST,70551,1775.00
MRI BRAIN W CONTRAST,70552,1923.00
PB MRI BRAIN W CONTRAST,70552,1923.00
MRI BRAIN W/O & W CONT,70553,2072.00
BRAIN W/O & W CONT,70553,2363.00
PB MRI BRAIN W/O & W CONT,70553,2072.00
CHEST 1 VIEW,71010,116.00
PB CHEST 1 VIEW,71010,155.00
CHEST SPECIAL VIEW,71035,304.00
PB CHEST SPECIAL VIEW,71035,304.00
CHEST 1 VIEW,71045,155.00
CHEST 2 VIEW,71046,309.00
CHEST 2 VIEW,71046,231.00
PB CHEST 2 VIEW,71046,309.00
RIBS UNILAT 2 VW,71100,188.00
RIBS UNILAT 2 VIEW,71100,141.00
PB RIBS UNILAT 2 VW,71100,188.00
RIBS LT 2 VW,71100,188.00
PB RIBS LT 2 VW,71100,188.00
RIBS RT 2 VW,71100,188.00
PB RIBS RT 2 VW,71100,188.00
RIBS UNI 3+ VW,71101,372.00
RIBS UNILAT W/PA CHE,71101,216.00
PB RIBS UNI 3+ VW,71101,372.00
RIBS LT 3+ VW,71101,372.00
PB RIBS LT 3+ VW,71101,372.00
RIBS RT 3+ VW,71101,372.00
PB RIBS RT 3+ VW,71101,372.00
RIBS BIL 3 VIEWS,71110,407.00
RIBS BIL 3 VIEWS,71110,199.00
PB RIBS BIL 3 VIEWS,71110,407.00
RIBS 4+ VW BIL,71111,434.00
RIBS BILAT W/PA CHES,71111,291.00
PB RIBS 4+ VW BIL,71111,434.00
STERNUM 2+ VIEWS,71120,278.00
STERNUM 2V,71120,174.00
PB STERNUM 2+ VIEWS,71120,278.00
STERNUM 3 VIEWS,71130,243.00
CT CHEST WO,71250,1425.00
CT CHEST LOW DOSE PROTOCOL,71250,1425.00
CHEST W/O CONTRAST,71250,1069.00
PB CT CHEST WO,71250,1425.00
CT CHEST W,71260,1725.00
CHEST WITH CONTRAST,71260,1294.00
PB CT CHEST W,71260,1725.00
CT CHEST W/WO,71270,1743.00
CHEST W/O & W CONTRA,71270,2138.00
PB CT CHEST W/WO,71270,1743.00
CTA CHEST W PE/ANEURYSM PROTOCOL,71275,2850.00
CTA CHEST W W/O,71275,1995.00
MRI CHEST W/O CONTRAST,71550,1775.00
PB MRI CHEST W/O CONTRAST,71550,1775.00
MRI CHEST W CONTRAST,71551,1923.00
PB MRI CHEST W CONTRAST,71551,1923.00
MRI CHEST W/O & W CONT,71552,2072.00
PB MRI CHEST W/O & W CONT,71552,2072.00
SPINE 1 VIEW,72020,178.00
PB SPINE 1 VIEW,72020,178.00
SPINE CERVICAL 2-3 VW,72040,361.00
C-SPINE 2/3 VIEWS,72040,271.00
PB SPINE CERVICAL 2-3 VW,72040,361.00
SPINE CERVICAL 4+ VW,72050,438.00
C-SPINE 4+VIEWS,72050,329.00
PB SPINE CERVICAL 4+ VW,72050,438.00
THORACIC SPINE 2 VW,72070,330.00
T-SPINE 2 VIEWS,72070,109.00
PB THORACIC SPINE 2 VW,72070,330.00
THORACIC SPINE 3 VW,72072,391.00
T-SPINE 2 VIEWS,72072,251.00
PB THORACIC SPINE 3 VW,72072,391.00
SCOLIOSIS THORACIC SPINE 1V AP,72081,143.00
SCOLIOSIS THORACIC SPINE 2-3,72082,403.00
SCOLIOSIS THORACIC SPINE 4-5,72083,768.00
SCOLIOSIS THORACIC SPINE +6,72084,768.00
SPINE LUMBAR 2-3 VW,72100,295.00
L-SPINE 2/3 VIEWS,72100,221.00
PB SPINE LUMBAR 2-3 VW,72100,295.00
SPINE LUMBAR 4+ VW,72110,433.00
L-SPINE 4+VIEWS,72110,161.00
PB SPINE LUMBAR 4+ VW,72110,433.00
SPINE LUMBAR BEND ONLY 4+,72120,494.00
PB SPINE LUMBAR BEND ONLY 4+,72120,494.00
CT SPINE CERVICAL W/O,72125,1522.00
C-SPINE W/O CONTRAST,72125,1069.00
PB CT SPINE CERVICAL W/O,72125,1522.00
CT SPINE CERVICAL W,72126,1763.00
PB CT SPINE CERVICAL W,72126,1763.00
CT SPINE CERVICAL W/WO,72127,1876.00
PB CT SPINE CERVICAL W/WO,72127,1876.00
CT SPINE THORACIC WO,72128,1550.00
T-SPINE W/O CONTRAST,72128,1162.00
PB CT SPINE THORACIC WO,72128,1550.00
CT SPINE THORACIC W,72129,1763.00
PB CT SPINE THORACIC W,72129,1763.00
CT SPINE LUMBAR W/O,72131,1522.00
L-SPINE W/O CONTRAST,72131,1069.00
PB CT SPINE LUMBAR W/O,72131,1522.00
CT SPINE LUMBAR W,72132,1763.00
PB CT SPINE LUMBAR W,72132,1763.00
CT SPINE LUMBAR W/WO,72133,1806.00
PB CT SPINE LUMBAR W/WO,72133,1806.00
MRI SPINE CERVICAL WO,72141,1775.00
C-SPINE W/O CONTRAST,72141,1594.00
PB MRI SPINE CERVICAL WO,72141,1775.00
MRI SPINE CERVICAL W,72142,1923.00
PB MRI SPINE CERVICAL W,72142,1923.00
MRI SPINE THORACIC WO,72146,1775.00
T-SPINE W/O CONTRAST,72146,1594.00
PB MRI SPINE THORACIC WO,72146,1775.00
MRI SPINE THORACIC W,72147,1923.00
PB MRI SPINE THORACIC W,72147,1923.00
MRI SPINE LUMBAR WO,72148,2125.00
L-SPINE W/O CONTRAST,72148,1594.00
PB MRI SPINE LUMBAR WO,72148,2125.00
MRI SPINE LUMBAR W,72149,1923.00
PB MRI SPINE LUMBAR W,72149,1923.00
MRI SPINE CERVICAL W/WO,72156,2072.00
C-SPINE W/O & W CONT,72156,2363.00
PB MRI SPINE CERVICAL W/WO,72156,2072.00
MRI SPINE THORACIC W/WO,72157,2072.00
THORACIC W WO CONTRA,72157,3882.00
PB MRI SPINE THORACIC W/WO,72157,2072.00
MRI SPINE LUMBAR W/WO,72158,2072.00
L-SPINE W/O & W CONT,72158,2363.00
PB MRI SPINE LUMBAR W/WO,72158,2072.00
MRA SPINE W/O & W,72159,2072.00
PB MRA SPINE W/O & W,72159,2072.00
PELVIS 1-2 VIEWS,72170,196.00
PB PELVIS 1-2 VIEWS,72170,196.00
PELVIS 3+ VIEWS,72190,288.00
PB PELVIS 3+ VIEWS,72190,288.00
CTA PELVIS W/O & W,72191,1861.00
CT PELVIS W/O CONTRAST,72192,1550.00
CT PELVIS W/O CONTRA,72192,1162.00
PB CT PELVIS W/O CONTRAST,72192,1550.00
CT PELVIS W,72193,1763.00
PB CT PELVIS W,72193,1763.00
CT PELVIS W/WO,72194,1876.00
PB CT PELVIS W/WO,72194,1876.00
MRI PELVIS W/O CONTRAST,72195,1775.00
PELVIS W/O CONTRAST,72195,1631.00
PB MRI PELVIS W/O CONTRAST,72195,1775.00
MRI PELVIS W CONTRAST,72196,1923.00
PB MRI PELVIS W CONTRAST,72196,1923.00
MRI PELVIS W/O & W CONT,72197,2072.00
PB MRI PELVIS W/O & W CONT,72197,2072.00
SI JOINTS 3+ VIEWS,72202,268.00
PB SI JOINTS 3+ VIEWS,72202,268.00
SACRUM/COCCYX 2+ VW,72220,371.00
COCCYX 2 VIEW,72220,371.00
SACRUM 2 VIEW,72220,371.00
SACRUM/COCCYX,72220,163.00
