Mnemonic,Name,  Std Price  , Self Pay Price 
3010001,2SW-R/C CHG," $1,147.00 ", $860.25 
3010004,2SW-OBV HRLY CHG, $31.00 , $23.25 
3010007,2SW-INFUS THERAPEUTIC CONCURRE, $86.00 , $64.50 
3011000,2SW-EXT RECOVERY, $293.00 , $219.75 
3011001,2SW-INFUS HYDRATION INT 31-60M, $468.00 , $351.00 
3011002,2SW-INFUS HYDRATI EA ADD 31-60, $104.00 , $78.00 
3011004,2SW-INF THERAPEUTIC INT 16-60M, $569.00 , $426.75 
3011005,2SW-INFUS THERAPEUTI ADD 16-60, $104.00 , $78.00 
3011006,2SW-IV INF THERAPY ADDIT SEQUE, $139.00 , $104.25 
3011009,2SW-PICC LINE INSERTION, $852.00 , $639.00 
3011011,2SW-Outpt Drsg Change, $158.00 , $118.50 
3011012,2SW-BLOOD TRANSFUSION, $621.00 , $465.75 
3011013,2SW-LUMBAR PUNCTURE, $449.00 , $336.75 
3011014,2SW-SC/IM INJECTION, $150.00 , $112.50 
3011015,2SW-IV INJECTION 1ST DRUG, $304.00 , $228.00 
3011016,2SW-IM ANTIBIOTIC INJECTI, $150.00 , $112.50 
3011018,2SW-IV PUSH EA ADD NEW ME, $200.00 , $150.00 
3011023,2SW-IV PUSH EA AD SEQ SAME MED, $200.00 , $150.00 
3011126,2SW-BLADDER SCAN, $152.00 , $114.00 
3030001,3SW-ROOM CHARGE," $1,147.00 ", $860.25 
3030003,3SW-OBV FLAT CHG, $394.00 , $295.50 
3030004,3SW-OBV HRLY CHG, $31.00 , $23.25 
3030007,3SW-INFUS THERAPEUTIC CONCURRE, $86.00 , $64.50 
3031000,3SW-EXT RECOVERY, $268.00 , $201.00 
3031001,3SW-INFUS HYDRATION INIT 31-60, $427.00 , $320.25 
3031002,3SW-INFUS HYDRATI EA ADD 31-60, $104.00 , $78.00 
3031004,3SW-INFUS THERAPEU INIT 16-60, $569.00 , $426.75 
3031005,3SW-INFUS THERAP EA ADD 16-60M, $104.00 , $78.00 
3031006,3SW-IV INF THERAPY ADDIT SEQUE, $139.00 , $104.25 
3031009,3SW-PICC LINE INSERTION, $852.00 , $639.00 
3031011,3SW-OUTPT DRSG CHANGE, $158.00 , $118.50 
3031012,3SW-BLOOD TRANSFUSION, $621.00 , $465.75 
3031013,3SW-LUMBAR PUNCTURE, $449.00 , $336.75 
3031014,3SW-SC/IM INJECTION, $150.00 , $112.50 
3031015,3SW-IV INJECTION INIT >15 MIN, $304.00 , $228.00 
3031016,3SW-IM ANTIBIOTIC INJECTI, $150.00 , $112.50 
3031018,3SW-IV PUSH SUBSEQ NEW DRUG<15, $200.00 , $150.00 
3031023,3SW-IV PUSH REPEAT DRUG <15 M, $200.00 , $150.00 
3031126,3SW-BLADDER SCAN, $152.00 , $114.00 
3090001,ORT-R/C CHG," $1,195.00 ", $896.25 
3090004,ORT-OBV HRLY CHG, $31.00 , $23.25 
3090007,ORT-INFUS THERAPEUTIC CONCURRE, $86.00 , $64.50 
3091000,ORT-EXT RECOVERY, $293.00 , $219.75 
3091001,ORT-INFUS HYDRATION INIT 31-60, $468.00 , $351.00 
3091002,ORT-INFUS HYDRATI EA ADD 31-60, $104.00 , $78.00 
3091004,ORT-INFUS THERAPEUT INIT 16-60, $472.00 , $354.00 
3091005,ORT-INFUS THERAPE EA ADD 16-60, $104.00 , $78.00 
3091006,ORT-IV INF THERAPY ADDIT SEQUE, $139.00 , $104.25 
3091009,ORT-PICC LINE INSERTION, $852.00 , $639.00 
3091011,ORT-OUTPT DRSG CHANGE, $116.00 , $87.00 
3091012,ORT-BLOOD TRANSFUSION, $593.00 , $444.75 
3091013,ORT-LUMBAR PUNCTURE, $449.00 , $336.75 
3091014,ORT-SC/IM INJECTION, $150.00 , $112.50 
3091015,ORT-IV INJECTION 1ST DRUG, $200.00 , $150.00 
3091016,ORT-IM ANTIBIOTIC INJECTI, $150.00 , $112.50 
3091018,ORT-IV PUSH EA ADD NEW ME, $200.00 , $150.00 
3091023,ORT-IV PUSH EA AD SEQ SAME MED, $200.00 , $150.00 
3091126,ORT-BLADDER SCAN, $152.00 , $114.00 
3110001,PED-R/C CHG," $1,248.00 ", $936.00 
3110004,PED-OBV HRLY CHG, $33.00 , $24.75 
3110007,PED-INFUS THERAPEUTIC CONCURRE, $86.00 , $64.50 
3110011,PED-ADULT R/C CHG," $1,111.00 ", $833.25 
3110014,PED-ADULT OBV HOURLY CHG, $33.00 , $24.75 
3110258,PED-CHILDRENS COMFORT, $-   , $-   
3111000,PED-EXT RECOVERY, $293.00 , $219.75 
3111001,PED-INFUS HYDRATION INIT 31-60, $468.00 , $351.00 
3111002,PED-INFUS HYDRATI EA ADD 31-60, $104.00 , $78.00 
3111004,PED-INFUS THERAPEUT INIT 16-60, $569.00 , $426.75 
3111005,PED-INFUS THERAPE EA ADD 16-60, $104.00 , $78.00 
3111006,PED-IV INF THERAPY ADDIT SEQUE, $139.00 , $104.25 
3111009,PED-PICC LINE INSERTION, $852.00 , $639.00 
3111010,PED-BILI LIGHT, $149.00 , $111.75 
3111011,PED-OUTPT DRSG CHANGE, $116.00 , $87.00 
3111012,PED-BLOOD TRANSFUSION, $593.00 , $444.75 
3111013,PED-LUMBAR PUNCTURE, $449.00 , $336.75 
3111014,PED-SC/IM INJECTION, $150.00 , $112.50 
3111015,PED-IV INJECTION 1ST DRUG, $200.00 , $150.00 
3111016,PED-IM ANTIBIOTIC INJECT, $150.00 , $112.50 
3111018,PED-IV PUSH EA ADD NEW ME, $200.00 , $150.00 
3111023,PED-IV PUSH EA AD SEQ SAME MED, $200.00 , $150.00 
3111126,PED-BLADDER SCAN, $152.00 , $114.00 
3130001,OB-R/C CHG," $1,409.00 "," $1,056.75 "
3130004,OB-OBV HRLY CHG, $39.00 , $29.25 
3131000,OB-EXT RECOVERY, $312.00 , $234.00 
3131001,OB-INFUS HYDRATION INIT 31-60, $483.00 , $362.25 
3131002,OB-INFUS HYDRATIO EA ADD 31-60, $108.00 , $81.00 
3131004,OB-INFUS THERAPEUTI INIT 16-60, $569.00 , $426.75 
3131005,OB-INFUS THERAPEU EA ADD 16-60, $108.00 , $81.00 
3131006,OB-ADD'L SEQUENTAIL INFUS 1HR., $143.00 , $107.25 
3131009,OB-PICC LINE INSERTION, $882.00 , $661.50 
3131011,OB-OUTPT DRSG CHANGE, $119.00 , $89.25 
3131012,OB-BLOOD TRANSFUSION, $737.00 , $552.75 
3131013,OB-LUMBAR PUNCTURE, $464.00 , $348.00 
3131014,OB-SC/IM INJECTION, $150.00 , $112.50 
3131015,OB-IV INJECTION, $207.00 , $155.25 
3131016,OB-IM ANTIBIOTIC INJECTIO, $150.00 , $112.50 
3131018,OB-IV PUSH EA ADD NEW MED, $207.00 , $155.25 
3131023,OB-IV PUSH EA ADD SEQ SAME MED, $207.00 , $155.25 
3131126,OB-BLADDER SCAN, $156.00 , $117.00 
3150001,LD-R/C CHG," $1,470.00 "," $1,102.50 "
3150004,LD-OBV HRLY CHG, $44.00 , $33.00 
3150007,LD-INFUS THERAPEUTIC CONCURREN, $93.00 , $69.75 
3151001,LD-INFUS HYDRATION INIT 31-60M, $506.00 , $379.50 
3151002,LD-INFUS HYDRATI EA ADDL 31-60, $113.00 , $84.75 
3151004,LD-INFUSION THERAP INIT 16-60M, $511.00 , $383.25 
3151005,LD-INFUS THERAP EA ADDL 16-60M, $113.00 , $84.75 
3151012,LD-BLOOD TRANSFUSION, $772.00 , $579.00 
3151014,LD-SC/IM INJECTION, $150.00 , $112.50 
3151015,LD-IV INJECTION 1ST DRUG, $217.00 , $162.75 
3151016,LD-IM ANTIBIOTIC INJECTIO, $150.00 , $112.50 
3151018,LD-IV PUSH EA ADD NEW MED, $217.00 , $162.75 
3151020,LD-AMNIOCENTISES, $422.00 , $316.50 
3151023,LD-IV PUSH EA ADD SEQ SAME MED, $217.00 , $162.75 
3151102,LD-EXAM ROOM, $125.00 , $93.75 
3151103,LD-Recovery Room 1st Hour, $540.00 , $405.00 
3151104,LD-Recovery Ea Add 1/2 Hour, $120.00 , $90.00 
3151110,LD-FETAL MONITOR, $319.00 , $239.25 
3151111,LD-NST 30 MN, $182.00 , $136.50 
3151112,LD-NST 45 MN, $248.00 , $186.00 
3151113,LD-NST 60 MN, $294.00 , $220.50 
3151114,LD-NST OVER 60 MN, $319.00 , $239.25 
3151115,LD-OCT, $319.00 , $239.25 
3151116,LD-ULTRSD EXAM, $554.00 , $415.50 
3151120,LD-Epidural/Intrathecal, $824.00 , $618.00 
3151121,LD-Procedure, $294.00 , $220.50 
3151126,LD-Bladder Scan, $163.00 , $122.25 
3151150,LD-Labor & Delivery," $2,159.00 "," $1,619.25 "
3151154,LD-Labor Only," $1,397.00 "," $1,047.75 "
3151156,LD-Intran Iupd, $611.00 , $458.25 
3151176,LD-OR Initial," $3,122.00 "," $2,341.50 "
3151177,LD-OR Additional 15min, $84.00 , $63.00 
