Mnemonic,Name,Std Price
1100000101,Private Room,$885.00
1100000103,Private Room W/Cardiac Monitor,"$1,315.00"
1100000151,Swing-Bed Room,$445.00
1120000251,Ob Pvt Room,$885.00
1200000102,Semi-Private Room,$885.00
1200000103,Semi Private Room W/Card Monit,"$1,315.00"
1220000255,Ob Semi-Pvt Room,$885.00
1240000127,Geri/Psych Rm,"$1,275.00"
1640000100,Isolation Room,$885.00
1710000301,Newborn Care,$805.00
1720000253,Nursery-Level 2,$875.00
1730000254,Nursery-Level 3,"$1,010.00"
2000000201,Intensive Care Room,"$2,590.00"
2060000103,Telemetry Private,"$1,740.00"
2060000106,Telemetry Semi-Private,"$1,740.00"
2550006191,Provide Dx Radpharms,"$1,926.25"
2550006354,Hexabrix (Contrast),$91.75
2550006434,Kinivac,$231.50
2550006678,Magnivist 15Ml,$443.50
2550006711,Magnivist 20Ml,$198.50
2550007102,Locm 350-399Mb/Ml Iodine 30Ml,$74.25
2550007223,Tc99M Sulfur Colloid,$303.00
2550007224,Tc99M Mebrofenin,$165.50
2550007246,Tc99M Maa,$76.25
2550007248,Tc99M Pyp,$152.50
2550007293,Conray 60%-125Ml,$73.25
2550007295,Conray 60-50Ml Vial,$35.50
2550007304,Readi-Cat Ba,$9.00
2590010916,Povidone-Iodine Oint,$8.25
2700000116,Oxygen Sensor,$114.25
2700000270,Elastic Wrap,$5.75
2700000271,Cryo-Cuff,$251.00
2700000272,Sport Rehab Cord,$12.75
2700000293,Wrist Forearm Cast,$50.75
2700000294,Short Leg Cast,$80.25
2700000295,Long Arm Cast,$80.25
2700000296,Full Leg Cast,$119.25
2700000332,Electrodes,$28.25
2700000902,Blades Surgical,$11.00
2700000904,Cath Foley W/Tray,$84.25
2700000905,Dura Prep Solution,$99.50
2700000906,Immobilizer Shoulder,$132.00
2700000907,Syringe Ear/Ulcer,$28.75
2700000908,Quick Comb Defib/Pac Pad,$374.75
2700000911,Gauze 4X4 Ster 10'S,$14.75
2700000913,"Steri-Strip 1/4X 3""",$23.00
2700000914,Swan Ganz,$583.25
2700000915,Tegaderm,$3.25
2700000916,Gauze 4X4 Tripaque,$21.50
2700000917,Temp Pace Lead,$624.50
2700000920,Syringe Medrad,$100.00
2700000931,Drape Angiography Brachial,$39.25
2700000940,Ambu Bag,$121.75
2700000950,Bair Hugger Blanket,$84.50
