"HospitalName","Description","Price"
"Freeman West","EVAL MODERATE COMPLEXITY",220.5
"Freeman West","NEUROMUSCULAR REEDUCATION",160
"Freeman West","THERAPEUTIC EXERCISE (15 MIN)",138.5
"Freeman West","EVAL MODERATE COMPLEXITY",220.5
"Freeman West","EVAL MODERATE COMPLEXITY",220.5
"Freeman West","EVAL MODERATE COMPLEXITY",220.5
"Freeman West","MANUAL THERAPY 15 MIN",142.25
"Freeman West","EVAL HIGH COMPLEXITY",275.75
"Freeman West","DYSPHAGIA SIMPLE",192.25
"Freeman West","THERAPEUTIC EXERCISE (15 MIN)",138.5
"Freeman West","EVAL MODERATE COMPLEXITY",220.5
"Freeman West","BEHAVIORAL QUALIT ANALYS VOICE",437.75
"Freeman West","OT REEVALUATION (30 DAYS)",122.75
"Freeman West","S T INTERMEDIATE AGE 0-21 YRS",266.75
"Freeman West","THERAPEUTIC ACTIVITY (15 MIN)",152.25
"Freeman West","EVAL HIGH COMPLEXITY",275.75
"Freeman West","SPEECH SOUND LANG EVALUATION",437.75
"Freeman West","ADL 0-21 YRS (15 MIN)",142.25
"Freeman West","WHEELCHAIR MANAGEMENT (15 MIN)",102.5
"Freeman West","MBS SWALLOWING FUNCTION",459.75
"Freeman West","GAIT TRAINING 15 MIN",122.75
"Freeman West","EVAL LOW COMPLEXITY",165.5
"Freeman West","THERAPEUTIC ACTIVITY (15 MIN)",152.25
"Freeman West","EVAL LOW COMPLEXITY",165.5
"Freeman West","POSITIONING 15 MIN",152.25
"Freeman West","EVAL MODERATE COMPLEXITY",220.5
"Freeman West","S T SIMPLE AGE 0-21 YRS",189.75
"Freeman West","EVAL HIGH COMPLEXITY",275.75
"Freeman West","DYSPHAGIA EVAL",409.5
"Freeman West","SPEECH FLUENCY EVALUATION",437.75
"Freeman West","EVAL LOW COMPLEXITY",165.5
"Freeman West","MANUAL THERAPY 15 MIN",142.25
"Freeman West","PT REEVALUATION (30 DAYS)",140.5
"Freeman West","EVAL HIGH COMPLEXITY",275.75
"Freeman West","EVAL LOW COMPLEXITY",165.5
"Freeman West","EVAL HIGH COMPLEXITY",275.75
"Freeman West","DYSPHAGIA INTERMEDIATE",278.75
"Freeman West","EVAL LOW COMPLEXITY",165.5
"Freeman West","DYSPHAGIA COMPLEX",315.75
"Freeman West","ORTHOTIC MGMT/TRAIN INIT 15MIN",135.5
"Freeman West","EVAL HIGH COMPLEXITY",275.75
"Freeman West","POSITIONING 15 MIN",152.25
"Freeman West","EVAL LOW COMPLEXITY",165.5
"Freeman West","S T COMPLEX AGE 0-21 YRS",315.75
"Freeman West","NEUROMUSCULAR REEDUCATION",160
"Freeman West","PROSTH MGMT/TRAIN INIT 15MIN",88
"Freeman West",NA,NA
"Freeman West",NA,NA
"Freeman West",NA,NA
"Freeman West",NA,NA
"Freeman West",NA,NA
"Freeman West",NA,NA
"Freeman West",NA,NA
"Freeman West",NA,NA
"Freeman West",NA,NA
"Freeman West",NA,NA
"Freeman West",NA,NA
"Freeman West",NA,NA
"Freeman West",NA,NA
"Freeman West",NA,NA
"Freeman West",NA,NA
"Freeman West",NA,NA
"Freeman West",NA,NA
"Freeman West",NA,NA
"Freeman West",NA,NA
"Freeman West",NA,NA
"Freeman West",NA,NA
"Freeman West",NA,NA
"Freeman West",NA,NA
"Freeman West",NA,NA
"Freeman West",NA,NA
"Freeman West",NA,NA
"Freeman West",NA,NA
"Freeman West",NA,NA
"Freeman West",NA,NA
"Freeman West",NA,NA
"Freeman West",NA,NA
"Freeman West",NA,NA
"Freeman West",NA,NA
"Freeman West",NA,NA
"Freeman West",NA,NA
"Freeman West",NA,NA
"Freeman West",NA,NA
"Freeman West",NA,NA
"Freeman West",NA,NA
"Freeman West",NA,NA
"Freeman West",NA,NA
"Freeman West",NA,NA
"Freeman West",NA,NA
"Freeman West",NA,NA
"Freeman West",NA,NA
"Freeman West",NA,NA
"Freeman West",NA,NA
"Freeman West",NA,NA
"Freeman West",NA,NA
"Freeman West",NA,NA
"Freeman West",NA,NA
"Freeman West",NA,NA
"Freeman West",NA,NA
"Freeman West",NA,NA
"Freeman West",NA,NA
"Freeman West",NA,NA
"Freeman West",NA,NA
"Freeman West",NA,NA
"Freeman West",NA,NA
"Freeman West",NA,NA
"Freeman West",NA,NA
"Freeman West",NA,NA
"Freeman West",NA,NA
"Freeman West",NA,NA
"Freeman West",NA,NA
"Freeman West",NA,NA
"Freeman West",NA,NA
"Freeman West",NA,NA
"Freeman West",NA,NA
"Freeman West",NA,NA
"Freeman West",NA,NA
"Freeman West",NA,NA
"Freeman West",NA,NA
"Freeman West",NA,NA
"Freeman West",NA,NA
"Freeman West",NA,NA
"Freeman West",NA,NA
"Freeman West",NA,NA
