Code,Description,Price,,,
100418,Fx Rad Distal Cl Wmanipu,"$1,492.00",,,
100419,Perc Fix Of Dist Radial Fx,"$1,882.00",,,
100420,Open Treat Distradial Fxwinter,"$2,030.00",,,
100421,Bil Open  Dist Radial Int Fx,"$4,631.00",,,
100422,Open Treat Dist Radial Int Fx,"$2,315.00",,,
100423,Open Treat Distal Rad Int Fx,"$2,846.00",,,
100424,Fx Carpal Scaphoid Cl wo Man,$762.00,,,
100425,Fx Open Tx Carpal Scapho,"$2,079.00",,,
100426,Fx Carpal Bone Closed,$731.00,,,
100427,Fx Carpal Bone Closed W Manip,"$1,096.00",,,
100428,Treat Wrist Bone Fx,"$1,753.00",,,
100429,Fx Ulnar Styloid Clotx,$806.00,,,
100430,Percut  Fixation Ulnsty Fx,"$1,257.00",,,
100431,Open Trtmt Of Ulnar Styloid Fx,"$1,862.00",,,
100432,Fx Txm Cl Radiocarpalin,"$1,050.00",,,
100433,Percutaneous Fix Odistal,"$1,350.00",,,
100434,Treat Wrist Fx,"$1,128.00",,,
100435,Op Tx Trans-Scaphoperil Fx Dis,"$1,710.00",,,
100436,Fusion Of Hand Bones,"$1,907.00",,,
100437,Arthrodesisc Autograft,"$2,564.00",,,
100438,Drainage Finger Abscess S,$478.00,,,
100439,Felon Drain Of Finger Abcess,$931.00,,,
100440,Drainage Tendon Sheath 1D,"$1,319.00",,,
100441,Drain Of Single Palmar Bursa,"$1,305.00",,,
100442,Incision Open Bone Cortex,"$1,624.00",,,
100443,Decom Fingers And Hand,"$2,365.00",,,
100444,Fasciotomy Dupuytrens Con,$955.00,,,
100445,Fasc Plmer Open Part Dup,"$1,451.00",,,
100446,Tendon Sheath Inc Trig Fi,"$1,454.00",,,
100447,Exc Hand Les Sc > 1.5 cm,"$1,197.00",,,
100448,Exc Hand Tum Deep > 1.5 cm,"$1,575.00",,,
100449,Exc Tumor Subq Handfin,"$1,474.00",,,
100450,Exc Deep Sufacial Intram,"$1,525.00",,,
100451,Fasciectomy Palm Only,"$2,281.00",,,
100452,Exc Part Palmar Release S,"$2,692.00",,,
100453,Fasciectomy Partial Palme,"$1,080.00",,,
100454,Synovectomy Palm Finger,"$1,815.00",,,
100455,Exclestendon Sheath Or,"$1,432.00",,,
100456,Exc Cysttumor Proximal M,"$1,517.00",,,
100457,Manipulat Palm Cord Post Inj,$240.00,,,
100458,Repair Recons Flexor Tend,"$2,479.00",,,
100459,Repairadvanceflexor Ten,"$3,270.00",,,
100460,Tendon Profendus Repair,"$2,587.00",,,
100461,Repair Ext Tendon Hand wo F,"$1,856.00",,,
100462,Repair/Graft Hand Tendon,"$1,921.00",,,
100463,Repair Extensor Tendon,"$1,887.00",,,
100464,Repair Extensor Tendon,"$1,539.00",,,
100465,Tenolysis Tendon Repair,"$2,027.00",,,
100466,Incise Hand/Finger Tendon,"$1,118.00",,,
100467,Lengthening Of Hand Tendon,"$1,744.00",,,
100468,Tendon Trans Hand wo Gra,"$2,537.00",,,
100469,Transplant/Graft Hand Tendon,"$2,341.00",,,
100470,Transplant Palm Tendon,"$2,839.00",,,
100471,Recon Tendon Pulleyeac,"$1,820.00",,,
100472,Release Knuckle Contracture,"$2,251.00",,,
100473,Revise Knuckle Joint,"$1,877.00",,,
100474,Repair Wprosthetic Impla,"$2,215.00",,,
100475,Bilat Repair Metacarpal Wb Gra,"$5,358.00",,,
100476,Repair Metacarpal Wb Gra,"$2,679.00",,,
100477,Recon Finger Volar Plate,"$2,560.00",,,
100478,Repair Of Muscle  Hand,"$1,719.00",,,
100479,Tx Of Fx Of Hand wo Manipul,$649.00,,,
100480,Fx Metacarpal Cl Wmanipu,$856.00,,,
100481,Fx Metacarpal Wman Win,"$1,355.00",,,
100482,Fx Metacarpal Percant Fix,"$1,544.00",,,
100483,Fx Metacarpal Op Tx Of O,"$1,679.00",,,
100484,Disloc Carpometacarp Thum,$909.00,,,
100485,Fx Carpometacaral Ben Wm,"$1,076.00",,,
100486,Carpometacarpal Fx Fixati,"$1,564.00",,,
100487,Disloc Metca Closed Tx,$824.00,,,
100488,Clo Tx Disloc Carpowane,"$1,148.00",,,
100919,Bx Lung Or Mediastinum,$468.00,,,
100920,Lobectomy Single Lobe,"$4,389.00",,,
100921,Rem Of Lung Other Than Total,"$4,606.00",,,
100922,Segmentectomy,"$4,610.00",,,
100923,Wedge Resect Of Lung Initial,"$2,485.00",,,
100924,Wedge Resect Of Lung Add-On,$378.00,,,
100925,Insert Indwell Tunnel Pleura,"$1,286.00",,,
100926,Tube Thoracostomy,$587.00,,,
100927,Remove Lung Cath,$504.00,,,
100928,Aspirate Pleura W/O ImaGIng,$375.00,,,
100929,Bil  Asp Pleura W/O ImaGIng,$750.00,,,
100930,Aspirate Pleura W/ ImaGIng,$375.00,,,
100931,Bilat Asp Pleura W/ ImaGIng,$750.00,,,
100932,Insert Cath Pleura W/O Image,$306.00,,,
100933,Insert Cath Pleura W/ Image,$378.00,,,
100934,Chemical Pleurodesis,$504.00,,,
100935,Thoracoscopy Thor Lungs wo Bi,"$1,035.00",,,
100936,Thoracoscopy Diagnostic W Bx,"$1,330.00",,,
100937,Thoracoscopy W/Bx Nodule,$963.00,,,
100938,Thoracoscopy W/Bx Pleura,$677.00,,,
100939,Thoracoscopy W Pleurodesis,"$2,186.00",,,
100940,Thoracoscopy Wpartial Decort,"$3,126.00",,,
100941,Thoracoscopy Wexcis Plic,"$2,988.00",,,
100942,Thoracoscopy W Percard Window,"$2,492.00",,,
100943,Thoracoscopy SurGIcal,"$2,988.00",,,
100944,Thoracoscopy W/Wedge Resect,"$2,340.00",,,
100945,Thoracoscopy W/W Resect Diag,$380.00,,,
100946,Open Clos Of Major Bronch Fist,"$7,744.00",,,
100947,Reconstruct Injured Chest,"$3,551.00",,,
