CHG DESCRIPTION,CHG AMT
MAMM FINE NDL ASPIR W/IMA,"1,145.00 "
PV NDL GUIDE W IMAG,"1,145.00 "
CT NDL GUIDE W/IMAG,"1,145.00 "
US FN ASP EA ADD,"1,145.00 "
US FN ASP UNSUC,"1,072.00 "
US FINE NDL ASPIR,"1,145.00 "
US FIN ASP EA ADD,"1,145.00 "
PV GUIDE CATHET FLUID DRA,"2,100.00 "
CT GUIDE CATHT FLUID DRAI,"2,100.00 "
US GUIDE CATHET FLUID DRA,"2,100.00 "
4S I&D ADSC SMPL OR SGL,659.00 
6S I&D ABSCESS/SIMPLE,659.00 
7S I&D ABSC SMPL OR SGL,659.00 
OB I&D ADSC; SMPL OR SGL,659.00 
ICU I&D ABSCESS/SIMPLE,659.00 
I&D ABSCESS SIMPLE,659.00 
I&D ABSCESS SIMPLE,659.00 
CV I&D ABSC SMPL OR SGL,659.00 
3S I&D ABSC COMPL OR MULT,800.00 
I&D ABSCESS COMPLIC,800.00 
I&D PILONIDAL,810.00 
I&D REM FB,"1,106.00 "
I&D REM FB,906.00 
CV INC & REM FB SQ SMPL,"1,106.00 "
"PV INC & REM RB, SQ; SMPL","1,106.00 "
US I&D REM FB,"1,106.00 "
INC & REM FB COMPLX,"3,020.00 "
EV I&D HEMATOMA,"2,300.00 "
I&D HEMATOMA SEROMA,"2,300.00 "
PV I&D HEMATOMA SEROMA,"2,300.00 "
7S PUNCT ASP ABSC HEMAT C,645.00 
PUNC ASP OF ABS HEM,645.00 
PV ASP HEMATOM ABSC,645.00 
CT ASP HEMATOM ABSC,645.00 
CT PUNCT ASP ABSC HEMAT C,645.00 
US ASP HEMATOMO ABSC,645.00 
DEBRIDE <=10% OF BDY,683.00 
DEBRIDEMENT OPEN FX,"1,448.00 "
DEBRIDE SKIN MUSCLE FX,542.00 
DEBRIDEMENT OPEN FX,"2,405.00 "
6S DEB SUBQ TISSUE 20 SQ,897.00 
7S DEBRIDE SKIN TO SQ TIS,897.00 
ICU DEB SUBQ TISSUE 20 SQ,897.00 
DEBRIDEMENT SKIN SQ TISSU,897.00 
EV DEB MUSC/FASCIA 20SQ C,897.00 
DEB BONE 20 SQ CM/<,"1,478.00 "
6S PARE BENIGN LES; SGL,210.00 
6S BIOPSY SKIN LESION SGL,281.00 
7S BIOPSY SKIN LESION SGL,281.00 
BIOPSY SKIN LESION  SINGL,281.00 
CT BX SKIN SQ/MM SGL,281.00 
US BX SKIN SQ/MM SGL,281.00 
7S BX-SKIN SQ/MM EA ADDTL,172.00 
REM OF SKIN TAGS,299.00 
EXC BENIGN LESION MARG,"1,589.00 "
DEBRID OF NAIL S 1-5,132.00 
AVUL NAIL,340.00 
SUBUNGL HEMATOMA,205.00 
EXCISION NAIL MATRIX,561.00 
REPAIR OF NAIL,741.00 
REPAIR OF NAIL,741.00 
WEDGE RESECTION NAIL,365.00 
REMOVE DRUG IMPLANT,351.00 
4S SREP S/N/A/G/TR/E 2.5C,415.00 
LAC SIMPLE EXT,415.00 
LAC SIMPLE EXT,415.00 
LAC SIMPLE EXT,435.00 
LAC SIMPLE EXT,435.00 
LAC SIMPLE EXT,475.00 
LAC SIMPLE EXT,475.00 
LAC SIMPLE EXT,475.00 
LAC SIMPLE EXT,485.00 
LAC SIMPLE EXT,495.00 
3S SREP F/E/N/L/MM; 2.5CM,420.00 
LAC SIMPLE FACE,420.00 
LAC SIMPLE FACE,420.00 
LAC SIMPLE FACE,435.00 
LAC SIMPLE FACE,475.00 
LAC SIMPLE FACE,485.00 
LAC SIMPLE FACE,500.00 
SREP F/E/N/LMM 20.1-30.0C,515.00 
SREP F/E/N/L/MM > 30.0CM,535.00 
ED I&D REM FB,899.00 
PV TX S WND DEHISC; SMPL,899.00 
4S INTMD WND REPAIR S/A/T,475.00 
LAC LAYER CIOS,475.00 
LAC LAYER CIOS,701.00 
LAC LAYER CIOS,747.00 
LAC LAYER CIOS,776.00 
LAC LAYER CIOS,765.00 
LAC LAYER NCK HDS FT,638.00 
LAC LAYER NCK HDS FT,717.00 
LAC LAYER NCK HDS FT,725.00 
LAC LAYER NCK HDS FT,730.00 
LAC LAYER NCK HDS FT,760.00 
3S NTMD WND REPAIR FACE/M,717.00 
LAC LAYER REP,717.00 
LAC LAYER REP,747.00 
LAC LAYER REP,765.00 
LAC LAYER REP,808.00 
LAC LAYER REP,825.00 
INTMD WND REPAIR FACE/MM,770.00 
LAC COMPLX 1.1-2.5CM,750.00 
LAC COMPLX 2.6-7.5CM,770.00 
LAC COMPLX ADD ON 5CM OR,500.00 
LAC COMPLX 1.1-2.5CM,800.00 
LAC COMPLX 2.6-7.5CM,830.00 
LAC COMPLX ADD ON 5CM OR,867.00 
LAC COMPLX 1.1-2.5CM,875.00 
LAC COMPLX 2.6-7.5CM,880.00 
LAC COMPLX ADD-ON 5CM OR<,600.00 
LAC COMPLX 1.1-2.5CM,910.00 
LAC COMPLX 2.6-7.5CM,940.00 
LAC COMPLX 5CM OR,970.00 
CV LCL SURG WND/DEH EXTEN,"3,975.00 "
TX 1ST DEGREE LOCAL,315.00 
DRESS DEBRID P THICK BURN,533.00 
