"SVCCD","Description","PRICE1","As of Date"
"1010014","NI-EKG, 12 LEADS    ",485.00,"2/5/2019"
"1010015","NI-STRESS TEST      ",942.00,"2/5/2019"
"1020033","EEG AWAKE ASLEEP    ",4439.00,"2/5/2019"
"1040021","NI-CARDI REHAB W- MO",184.00,"2/5/2019"
"1040023","STRNGTH TRN SLG 15MI",72.00,"2/5/2019"
"1040024","RESP FX TRN SGL 15MN",58.00,"2/5/2019"
"1040030","PULM REHAB W EXER   ",234.00,"2/5/2019"
"1040033","PAD REHB PER SESSION",160.00,"2/5/2019"
"1041018","PULM STRESS SIMPLE  ",411.00,"2/5/2019"
"1050018","NI-TILT TABLE       ",1953.00,"2/5/2019"
"1050025","US-CAROTID DPLX SCAN",702.00,"2/5/2019"
"1050030","NI-NON INV ARTER EXT",599.00,"2/5/2019"
"1050031","NI-STD LE STRS REST ",599.00,"2/5/2019"
"1050032","NI-LW EXT DPX ART BI",702.00,"2/5/2019"
"1050034","NI-UP EXT DPX ART BI",1591.00,"2/5/2019"
"1050035","NI-UP EXT DPX ART UN",832.00,"2/5/2019"
"1050037","NI-EXT VEINS DPLX WC",702.00,"2/5/2019"
"1050038","US-EXT VEINS DPX LTD",496.00,"2/5/2019"
"1050039","NI-DPLX SCAN ART CMP",702.00,"2/5/2019"
"1050041","NI-DPLXSCN GRFT ARTA",702.00,"2/5/2019"
"1050048","NI-ECHO, ANEU RPR   ",2529.00,"2/5/2019"
"1050059","NI-LW EXT DPX ART UN",496.00,"2/5/2019"
"1050075","NI-TTE STRESS WWO   ",3266.00,"2/5/2019"
"1050086","NI-TTE STRESS WO    ",1402.00,"2/5/2019"
"1050089","NI-TEE COMP WO      ",4818.00,"2/5/2019"
"1050090","NI-TTE 2D MM LTD WO ",1249.00,"2/5/2019"
"1050092","NI-TTE 2D W DOPP WO ",1596.00,"2/5/2019"
"1050115","NI-TTE 2D W DOPP WWO",1867.00,"2/5/2019"
"1061242","IC-IVUS, INIT       ",1886.00,"2/5/2019"
"1061251","IC-ATHERCT CORO INI ",32526.00,"2/5/2019"
"1061266","P-INS GEN-LEAD VEN  ",48094.00,"2/5/2019"
"1061267","P-INS DUAL PAC SYS  ",58373.00,"2/5/2019"
"1061273","P-REPOS RA-RV LEAD  ",12458.00,"2/5/2019"
"1061297","S-INJ VENOGRAPHY    ",7882.00,"2/5/2019"
"1061298","S-INTROCATH VENACAVA",2276.00,"2/5/2019"
"1061322","S-CATH EXTREM ART   ",2088.00,"2/5/2019"
"1061325","S-INTROCATH AORTA   ",1706.00,"2/5/2019"
"1061331","S-ABDOMEN 2ND ORDER ",9326.00,"2/5/2019"
"1061332","S-ABDOMEN 3RD ORDER ",10767.00,"2/5/2019"
"1061377","IR-INTRAVASC US INI ",268.00,"2/5/2019"
"1061418","HEART FLOW MEASURE  ",296.00,"2/5/2019"
"1061419","HEART FLOW MEAS ADD ",296.00,"2/5/2019"
"1061424","IR-VENACAVAGRAM INF ",6473.00,"2/5/2019"
"1061451","S-VENOUS MECH THROMB",18137.00,"2/5/2019"
"1061467","S-INS-REP PACE-DEFIB",77468.00,"2/5/2019"
"1061480","NI-CARDIOVERSION    ",3909.00,"2/5/2019"
"1061501","CC-RHC              ",13065.00,"2/5/2019"
"1061508","CC-L HRT ARTERY-VENT",24081.00,"2/5/2019"
"1061509","CC-L HRT ART-GRF ANG",23839.00,"2/5/2019"
"1061510","CC-R-L HRT ART-VENT ",24081.00,"2/5/2019"
"1061511","CC-R-L HRT ART-ANGIO",24082.00,"2/5/2019"
"1061513","S-ILIAC REVASC      ",20363.00,"2/5/2019"
"1061514","S-ILIAC REVAS W STNT",33545.00,"2/5/2019"
"1061517","S-FEM POP REVAS TLA ",16968.00,"2/5/2019"
"1061518","S-FEM POP REVAS ATHR",33545.00,"2/5/2019"
"1061519","S-FEM POP REVAS STNT",33545.00,"2/5/2019"
"1061520","S-FEM POP STNT ATHR ",47542.00,"2/5/2019"
"1061521","S-TIB PER REVAS W TL",20363.00,"2/5/2019"
"1061522","S-TIB PER REVAS ATHR",33545.00,"2/5/2019"
"1061527","S-INS CATH RENART 1B",16749.00,"2/5/2019"
"1061536","S-INS ENDO VENA CAVA",27099.00,"2/5/2019"
"1061541","S-REM-REP PM GEN DUL",33718.00,"2/5/2019"
"1061554","IC-PRQ CRD STN W-ANG",49982.00,"2/5/2019"
"1061560","IC-PRQ CARD REV 1 VS",49982.00,"2/5/2019"
"1061564","IC-PRQ DE COR STNT  ",39252.00,"2/5/2019"
"1061565","IC-PRQ DE COR STNT B",39252.00,"2/5/2019"
"1061566","IC-PRQ DE CR STNT AR",39252.00,"2/5/2019"
"1061568","IC-PRQ DE CR REV CAB",39252.00,"2/5/2019"
"1061570","IC-PRQ DE CR REV AMI",39252.00,"2/5/2019"
"1061571","IC-PRQ DE COR REV CH",39252.00,"2/5/2019"
"1061574","S-TRNSCTH THROM VEN ",8428.00,"2/5/2019"
"1061587","IR-ANG SUBCL IPS UNI",9477.00,"2/5/2019"
"1061598","IR-TC PLC STN ART IN",35385.00,"2/5/2019"
"1061599","IR-TC PLC STNT VN IN",1863.00,"2/5/2019"
"1061802","IR-TLUM BAL ANG 1STV",32940.00,"2/5/2019"
"1110801","OR LEV 1 INI 15 MIN ",3077.00,"2/5/2019"
"1110802","OR LEV 2 INI 15 MIN ",8045.00,"2/5/2019"
"1110803","OR LEV 3 INI 15 MIN ",10056.00,"2/5/2019"
"1110804","OR LEV 4 INI 15 MIN ",12068.00,"2/5/2019"
"1110805","OR LEV 5 INI 15 MIN ",14079.00,"2/5/2019"
"1110811","OR LEV 1 EA ADD MIN ",89.00,"2/5/2019"
"1110812","OR LEV 2 EA ADD MIN ",232.00,"2/5/2019"
"1110813","OR LEV 3 EA ADD MIN ",292.00,"2/5/2019"
