Description,Charge
0.45NS + KCl 20mEq/L,$100.00
0.45NS 1000mL,$100.00
0.45NS 250mL,$100.00
0.45NS 500 mL,$100.00
0.45NS I,$100.00
14 3 3 Protein Csf,$199.00
17 Ketosteroids Urine,$115.00
1St Art Thrombect 2Nd Vessel,"$8,627.00"
1St Art Thrombect Initl Vessel,"$8,627.00"
21 Hydroxylase Antibody,$116.00
2Nd Arterial Thrombectomy,"$8,627.00"
3D Isodose Plan,"$5,608.00"
3D Mapping Of Tachycardia,"$8,627.00"
5 A Dihydrotestosterone,$121.00
5 Fluorocystosine Level,$198.00
5 Nucleotidase,$121.00
AA 4.25%/Dex 5%+Lytes (Clinimix E Sulf-Fr),$151.20
Ab Scrn Inc Tech,$94.00
Abacavir/Lamiv/Zidov 300-150-300mg T,$213.30
Abciximab 10mg/5mL I(Reopro),"$10,593.90"
Abd Aortogram,"$5,392.00"
Abd Aortogrm W Bilat Runoff,"$5,392.00"
Ablation Addl,"$2,884.00"
Ablation Av Node Function Block,"$10,470.00"
Ablation By Pulm Isolation W Ep S,"$20,940.00"
Ablation Separate Mechanism Of Ar,"$10,470.00"
Ablation Svt W Comp Ep Study,"$20,940.00"
Ablation Vt W Comp Ep Study,"$20,940.00"
Absorbable Securestrap,"$8,204.73"
Absorbable Securestrap,"$2,640.64"
Acamprosate 333 mg EC T,$12.45
Acebutolol 200mg C(Sectral),$10.00
Acetabular Augment,"$8,492.70"
Acetabular Cup,"$8,320.95"
Acetabular Cup,"$9,209.25"
Acetabular Cup,"$1,500.00"
Acetabular Cup,"$8,775.00"
Acetabular Ring,"$7,359.75"
Acetabular Ring,"$11,268.00"
Acetabular Ring,$585.00
Acetabular Ring,$679.50
Acetabular Ring,"$4,996.25"
Acetaminophen 120mg Sup(Tylenol),$0.00
Acetaminophen 120mg/3.75mL L UD,$3.00
Acetaminophen 160mg/5 mL L UD,$0.00
Acetaminophen 1g/100mL Inj,$384.85
Acetaminophen 240mg/7.5mL L UD,$0.00
Acetaminophen 325mg Sup(Tylenol),$0.00
Acetaminophen 325mg T(Tylenol),$0.00
