"SVCCD","Description","PRICE1","As of Date"
"31000026","PRIVATE ROOM                  ",1603.95,"2/5/2019"
"31100026","PRIVATE ROOM                  ",1603.95,"2/5/2019"
"31212000","PRIVATE PEDIATRIC ROOM        ",1571.49,"2/5/2019"
"31400030","ROOM & BOARD PRIVATE          ",1603.95,"2/5/2019"
"31510600","PROGRESSIVE CARE UNIT PRIVATE ",1635.07,"2/5/2019"
"31700018","ROOM ADULT SEMI-PRIVATE       ",1485.43,"2/5/2019"
"31700027","ROOM PSYCH PRIVATE ADULT      ",1580.12,"2/5/2019"
"32015010","SEMI PRIVATE REHAB            ",1350.41,"2/5/2019"
"32500001","OBSERVATION 1ST HOUR          ",210.70,"2/5/2019"
"32531001","OBSERVATION 1ST HOUR          ",214.10,"2/5/2019"
"32531002","OBSRVATION ADDL HOUR          ",144.79,"2/5/2019"
"32531003","DIRECT ADMIT TO OBS           ",1452.17,"2/5/2019"
"32531101","OBSERVATION 1ST HOUR          ",213.35,"2/5/2019"
"32531102","OBSRVATION ADDL HOUR          ",143.87,"2/5/2019"
"32531103","DIRECT ADMIT TO OBS           ",1452.17,"2/5/2019"
"32531201","OBSERVATION 1ST HOUR          ",225.17,"2/5/2019"
"32531202","OBSRVATION ADDL HOUR          ",154.54,"2/5/2019"
"32531203","DIRECT ADMIT TO OBS           ",1452.17,"2/5/2019"
"32531401","OBSERVATION 1ST HOUR          ",210.70,"2/5/2019"
"32531402","OBSRVATION ADDL HOUR          ",131.90,"2/5/2019"
"32531403","DIRECT ADMIT TO OBS           ",1452.17,"2/5/2019"
"32531501","OBSERVATION 1ST HOUR          ",213.24,"2/5/2019"
"32531502","OBSRVATION ADDL HOUR          ",143.32,"2/5/2019"
"32531503","DIRECT ADMIT TO OBS           ",1452.17,"2/5/2019"
"32531701","OBSERVATION 1ST HOUR          ",247.00,"2/5/2019"
"32531702","OBSRVATION ADDL HOUR          ",167.77,"2/5/2019"
"32536001","OBSERVATION 1ST HOUR          ",225.79,"2/5/2019"
"32536002","OBSRVATION ADDL HOUR          ",153.01,"2/5/2019"
"32536003","DIRECT ADMIT TO OBS           ",1452.17,"2/5/2019"
"32600019","US-ECHO DOPPLER               ",1606.92,"2/5/2019"
"32600020","US-ECHO COLOR FLOW            ",609.52,"2/5/2019"
"32600034","S-INJ EPI BLD PATCH           ",2721.82,"2/5/2019"
"32600058","TC-99M SESTAMIBI DX PER S     ",658.66,"2/5/2019"
"32600060","TC99M MEDRO TO 30MCI          ",315.16,"2/5/2019"
"32600062","THALLIUM PER MILICURIE        ",262.14,"2/5/2019"
"32600065","TC 99M DISOFENIN < = 15MC     ",479.66,"2/5/2019"
"32600068","I-123 PER 100 UCI             ",387.66,"2/5/2019"
"32600081","NM PERTECHNETATE  PER MCI     ",162.28,"2/5/2019"
"32600090","TC 99M PENTETATE TO 25MCI     ",262.14,"2/5/2019"
"32600091","TC99 MAA DX TO 10MCI          ",292.78,"2/5/2019"
"32600092","TC99 SUL COL DX TO 20MCI      ",262.14,"2/5/2019"
"32600100","F18 FDG / 45 MCI              ",2527.94,"2/5/2019"
"32600108","TC99 MERTIATIDE DX TO 15M     ",881.22,"2/5/2019"
"32600116","LOCM 300-349MG/ML  100ML      ",1180.49,"2/5/2019"
"32600117","LOCM 350-399 MG/ML 100ML      ",1180.49,"2/5/2019"
"32600124","INJ PERFLUTRN LIP ML          ",1319.05,"2/5/2019"
"32600125","TC99M AEROSOL 75 MCI          ",262.14,"2/5/2019"
"32600148","S-PNCTR ASP HEMA-CY           ",590.10,"2/5/2019"
"32600149","S-DISKOGRM INJ LUMB           ",1287.31,"2/5/2019"
"32600151","S-SEC ART M THRO ADD          ",10833.68,"2/5/2019"
"32600159","S-THYROID CORE BX             ",1775.60,"2/5/2019"
"32600170","S-ABD/RETRPER NDL BX          ",3835.19,"2/5/2019"
"32600171","S-PANCREAS BX PERC            ",3835.19,"2/5/2019"
"32600189","S-TENDON-LIG INJ              ",2707.92,"2/5/2019"
"32600191","S-INJ TRIG 1-2 MSCL           ",570.66,"2/5/2019"
"32600194","S-JOINT ASP-INJ IM            ",771.22,"2/5/2019"
"32600197","S-CYSTOGRAM INJ               ",157.19,"2/5/2019"
"32600199","S-RETROURETHROCY INJ          ",523.39,"2/5/2019"
"32600202","S-INJ CATH HYSTERSO           ",359.20,"2/5/2019"
"32600208","S-INJ AIR CONT PERIT          ",273.68,"2/5/2019"
"32600216","S-JOINT ASP/INJ MAJ           ",771.22,"2/5/2019"
"32600219","S-INS TU CVC WOPU O5          ",8169.39,"2/5/2019"
"32600222","S-RPR T/NT CVAC WOSQ          ",1782.11,"2/5/2019"
"32600224","S-RPL COMP NT CVC WO          ",3423.68,"2/5/2019"
"32600225","S-RPLC COMP T CVC WO          ",8165.60,"2/5/2019"
"32600227","S-RPL COMP PICC WO            ",3566.41,"2/5/2019"
"32600229","S-ME RM PERIC OB CVD          ",8165.60,"2/5/2019"
"32600232","S-INJ SHOULDER ARTH           ",287.29,"2/5/2019"
"32600235","S-INJ WRIST ARTHRO            ",282.73,"2/5/2019"
"32600236","S-INJ ELBOW ARTHRO            ",386.20,"2/5/2019"
"32600237","S-INJ KNEE ARTHRO             ",273.68,"2/5/2019"
"32600238","S-INJ HIP ARTHRO              ",375.51,"2/5/2019"
"32600241","S-BX NDL LUNG MEDIA           ",3835.19,"2/5/2019"
"32600246","S-BX NDL LIVER                ",3835.19,"2/5/2019"
"32600249","S-SPINAL TAP DIAGNST          ",1447.08,"2/5/2019"
"32600256","S-DIL NEPH TRACT              ",8078.38,"2/5/2019"
"32600259","S-RENAL BX NEEDLE             ",3835.19,"2/5/2019"
"32600260","S-INJ CONT BY TUB CY          ",217.19,"2/5/2019"
"32600272","S-CHNG GASTROST TUBE          ",711.19,"2/5/2019"
"32600275","S-TRANSCATH BX                ",8414.95,"2/5/2019"
"32600276","S-REPOS CVAD W FLUOR          ",3217.99,"2/5/2019"
"32600277","S-IN PICC WOIMG GT5Y          ",3150.88,"2/5/2019"
"32600278","S-INS NT CVC GT 5YR           ",3667.02,"2/5/2019"
"32600279","S-INS CENTRAL PORT            ",8165.60,"2/5/2019"
"32600280","S-PORTAL VEIN CATH            ",7494.88,"2/5/2019"
"32600284","S-BX BONE DEEP                ",4887.33,"2/5/2019"
"32600285","S-BX BONE SUPRFCL             ",3011.59,"2/5/2019"
"32600286","S-ME RM INTRL OB CVD          ",3079.98,"2/5/2019"
"32600287","S-FIN NDL ASP W/IMG           ",1775.60,"2/5/2019"
"32600289","S-INJ EXTREMPSEUDOAN          ",758.46,"2/5/2019"
"32600290","S-INJ VENOGRAPHY              ",233.95,"2/5/2019"
"32600291","S-INTROCATH VENACAVA          ",1808.78,"2/5/2019"
"32600292","S-INTROCATH VEN 1ST           ",1735.55,"2/5/2019"
"32600293","S-INTROCATH VEN 2ND           ",1899.30,"2/5/2019"
"32600305","S-CATH EXTREM ART             ",292.18,"2/5/2019"
"32600307","S-INTROCATH AORTA             ",1902.82,"2/5/2019"
"32600308","S-THORACIC 1ST ORDER          ",1833.79,"2/5/2019"
"32600309","S-THORACIC 2ND ORDER          ",1817.73,"2/5/2019"
"32600310","S-THORACIC 3RD ORDER          ",4234.89,"2/5/2019"
"32600312","S-ABDOMEN 1ST ORDER           ",1652.01,"2/5/2019"
"32600313","S-ABDOMEN 2ND ORDER           ",1683.41,"2/5/2019"
"32600314","S-ABDOMEN 3RD ORDER           ",3794.85,"2/5/2019"
"32600315","S-ABDOMEN ADD ORDER           ",2323.10,"2/5/2019"
"32600316","S-DECLOT VASC DEV             ",1086.57,"2/5/2019"
"32600329","S-PERICARDIOCENT INI          ",1782.92,"2/5/2019"
"32600330","S-BX LYMPH SUPRF NDL          ",3835.19,"2/5/2019"
"32600334","S-BONE MARROW BX NDL          ",5715.65,"2/5/2019"
"32600340","S-SALIVARY GLAND BX           ",2316.12,"2/5/2019"
"32600341","S-ID SENTINEL NODE            ",1023.39,"2/5/2019"
"32600343","S-BRST CYST ASPIRAT           ",1775.60,"2/5/2019"
"32600345","S-BX MUSCLE PERC NDL          ",3835.19,"2/5/2019"
"32600352","S-INJ THERAPY VEINS           ",1315.15,"2/5/2019"
"32600365","NM IN-111 PENTETREOTIDE T     ",10498.49,"2/5/2019"
"32600369","S-BIOPSY SKIN 1 LES           ",532.44,"2/5/2019"
"32600377","S-INS PLEURAL CATH            ",8355.34,"2/5/2019"
"32600397","S-N BLOC INJ INTERCO          ",2132.85,"2/5/2019"
"32600398","S-N BLOC INJ INT MUL          ",3125.52,"2/5/2019"
"32600452","S-REMOVE LUNG CATH            ",1786.84,"2/5/2019"
"32600476","S-ILIAC REVAS STNT A          ",52482.79,"2/5/2019"
"32600477","S-TIB-PER REVAS ADD           ",14936.76,"2/5/2019"
"32600530","S-PLC INTER PERC RT           ",14534.28,"2/5/2019"
"32600545","US-BRST BX LOC CLP A          ",5127.15,"2/5/2019"
"32600551","S-TC PLC STN ART EA           ",9835.27,"2/5/2019"
"32600553","CHEMO ADMIN IA PUSH           ",395.24,"2/5/2019"
"32600800","S-BALO ANGIOP DIAL            ",14339.38,"2/5/2019"
"32600801","S-STENT PLMT DIAL             ",857.53,"2/5/2019"
"32600802","S-DIAL EMBOLJ                 ",813.85,"2/5/2019"
"32600804","S-TRLUM BAL ANG ADLV          ",28084.38,"2/5/2019"
"32600906","TC99M LABLED RBC TO 30 MC     ",839.26,"2/5/2019"
"32600918","S-DIL URETL STRC              ",4257.18,"2/5/2019"
"32608094","MODSED SAMEGT5 1ST15          ",173.29,"2/5/2019"
"32608096","MODSED SAME ADD15MIN          ",144.57,"2/5/2019"
"32650040","TOMOSYNTH MAMMO SCRN          ",227.39,"2/5/2019"
"32685005","TOMOSYNTHSIS SCR BI           ",227.39,"2/5/2019"
"32685006","S-PERC CERV LUMBAR EA         ",8184.53,"2/5/2019"
"32685007","S-PERC THOR LUMB EA           ",22458.18,"2/5/2019"
"32685124","S-CATH CAROTD VERT            ",2762.41,"2/5/2019"
"32685146","S-INTROCATH RHRT/PUL          ",1779.29,"2/5/2019"
"32685621","LOCM 350-399MG/ML  50ML       ",590.27,"2/5/2019"
"32685622","LOCM 300-349MG/ML  50ML       ",590.27,"2/5/2019"
"32685623","LOCM 300-349MG/ML  150ML      ",1770.74,"2/5/2019"
"32685632","LOCM 300-349 MG/ML 10ML       ",123.97,"2/5/2019"
"32686601","INJ MULTIHANCE 20ML           ",394.11,"2/5/2019"
"32686602","INJ MULTIHANCE 10ML           ",198.67,"2/5/2019"
"32686603","MULTIHANCE 5ML                ",98.53,"2/5/2019"
"32686604","MULTIHANCE 15ML               ",295.59,"2/5/2019"
"32686605","INJ GAD-BASE MR CONTRAST 5ML  ",98.50,"2/5/2019"
"32686611","MAGNEVIST 20ML                ",394.11,"2/5/2019"
"32688005","HOCM <=149 MG/ML 300ML        ",409.57,"2/5/2019"
"32688037","LOCM 200-299MG/ML 10ML        ",118.05,"2/5/2019"
"32698000","S-DIAG BN MARW ASP-BX         ",5715.65,"2/5/2019"
"33000028","OXYGEN PER HOUR               ",138.09,"2/5/2019"
"33000035","CC-INJ CONGENIT CARD          ",5736.35,"2/5/2019"
"33000038","CC-INJ R VENT-ATRIAL          ",3955.78,"2/5/2019"
"33000039","CC-INJ SUPRV AORTOGR          ",4862.27,"2/5/2019"
"33000042","S-ILIAC REVAS STNT A          ",52482.79,"2/5/2019"
"33000056","S-INS TU CVC WOPU 05          ",8169.39,"2/5/2019"
"33000062","S-ABDOMEN ADD ORDER           ",2323.10,"2/5/2019"
"33000068","OXYGEN PER SHIFT              ",1432.40,"2/5/2019"
"33000076","IR-ABD AORTA SERIAL           ",9349.22,"2/5/2019"
"33000079","IR-ANGIO EXTREM UNI           ",10199.43,"2/5/2019"
"33000080","IR-ANGIO EXTREM BI            ",9349.22,"2/5/2019"
"33008094","MODSED SAMEGT5 1ST15          ",173.29,"2/5/2019"
"33008096","MODSED SAME ADD15MIN          ",144.57,"2/5/2019"
"33085500","LOCM 300-349MG/ML IODINE1     ",14.28,"2/5/2019"
"33085516","LOCM 350-399MG/ML IODINE1     ",41.08,"2/5/2019"
"33700001","HBO MEDICARE FB 30MN          ",1796.14,"2/5/2019"
"33700002","HBO COMM PER SESSION          ",7184.54,"2/5/2019"
"33700003","US-ARTERIAL                   ",465.24,"2/5/2019"
"35000026","ICCU PRIVATE                  ",3389.54,"2/5/2019"
"36000025","PRIVATE ROOM                  ",1496.89,"2/5/2019"
"36000026","PRIVATE ROOM OB               ",1828.67,"2/5/2019"
"37000030","NURSERY NEWBORN               ",1367.72,"2/5/2019"
"37010006","NURSERY LEVEL II              ",1907.75,"2/5/2019"
"40179300","LITHOTRIPSY UNILATERAL        ",36779.57,"2/5/2019"
"40197162","OR LEVEL 1 -1ST 15 MIN        ",2860.73,"2/5/2019"
"40197163","OR LEVEL 1 -EACH ADDTL MIN    ",190.72,"2/5/2019"
"40197164","OR LEVEL 2 -1ST 15 MIN        ",4251.90,"2/5/2019"
"40197165","OR LEVEL 2 -EACH ADDTL MIN    ",283.47,"2/5/2019"
"40197166","OR LEVEL 3 -1ST 15 MIN        ",4478.88,"2/5/2019"
"40197167","OR LEVEL 3 -EACH ADDTL MIN    ",298.60,"2/5/2019"
"40197168","OR LEVEL 4 -1ST 15 MIN        ",5653.63,"2/5/2019"
"40197169","OR LEVEL 4 -EACH ADDTL MIN    ",391.18,"2/5/2019"
"40197170","OR LEVEL 5 -1ST 15 MIN        ",5867.64,"2/5/2019"
"40197171","OR LEVEL 5 -EACH ADDTL MIN    ",376.90,"2/5/2019"
"40197172","OR LEVEL 6 -1ST 15 MIN        ",13063.08,"2/5/2019"
"40197872","OR LEVEL 6 -EACH ADDTL MI     ",870.87,"2/5/2019"
"40208094","MODSED SAMEGT5 1ST15          ",168.94,"2/5/2019"
"40208098","MODSED OTH GT5 1ST15          ",168.94,"2/5/2019"
"40208099","MODSED OTH ADD15MIN           ",168.94,"2/5/2019"
"40210067","ESOPHAGEAL MOTILITY STUDY     ",2648.25,"2/5/2019"
"40210069","LEVEL I ENDO LAB 1ST 15MIN    ",2752.59,"2/5/2019"
"40210070","LEVEL I ENDO LAB ADDL 15MIN   ",305.76,"2/5/2019"
"40210071","LEVEL II ENDO LAB 1ST 15MIN   ",3300.74,"2/5/2019"
"40210072","LEVEL II ENDO LAB ADDL 15MIN  ",718.63,"2/5/2019"
"40210073","LEVEL III ENDO LAB 1ST 15MIN  ",6556.69,"2/5/2019"
"40210074","LEVEL III ENDO LAB ADDL 15MIN ",1095.16,"2/5/2019"
"40212457","CAPSULE ENDOSCOPY             ",3199.09,"2/5/2019"
"40220073","LEVEL IV ENDO LAB 1ST 15MIN   ",8195.87,"2/5/2019"
"40220074","LEVEL IV ENDO LAB ADDL 15MIN  ",1368.97,"2/5/2019"
"40275025","GASTROESOPHAGEAL REFLUX TEST  ",1233.74,"2/5/2019"
"40277005","BREATH HYDROGEN TEST          ",265.00,"2/5/2019"
"40400001","PACU LEV 1 INI 15 MN          ",1813.09,"2/5/2019"
"40400002","PACU LEV 2 INI 15 MN          ",2133.04,"2/5/2019"
"40400003","PACU LEV 3 INI 15 MN          ",2453.00,"2/5/2019"
"40400004","PACU LEV 4 INI 15 MN          ",2820.95,"2/5/2019"
"40400012","PACU LEV 2 EA ADD MN          ",142.20,"2/5/2019"
"40400013","PACU LEV 3 EA ADD MN          ",163.53,"2/5/2019"
"40400014","PACU LEV 4 EA ADD MN          ",188.07,"2/5/2019"
