Charge Identifier,CDM Description, 2019 Price ,,,
414,SNARE POLYPECTOMY ACUSNARE (ORDER IN 10'S) STD OVAL 2.5CM X 5.5CM AS-1-S G22629, $52.00 ,,,
1010,"GUIDEWIRE AMPLATZ SS .035"" 6MM X 145CM ST-TIP 46-523/M001465231", $97.00 ,,,
1349,IMPLANT HIP APEX HOLE ELIMINATOR 1246-03-000, $240.00 ,,,
2054,DILATOR BALLOON ESOPHEGEAL 10-12MM 8CM F/G 5835/M00558350, $562.00 ,,,
2055,DILATOR BALLOON ESOPHEGEAL 12-15MM 8CM F/G 5836/M00558360, $562.00 ,,,
2056,DILATOR BALLOON ESOPHEGEAL 15-18MM 8CM F/G 5837/M00558370, $562.00 ,,,
2057,DILATOR BALLOON ESOPHEGEAL 18-20MM 8CM F/G 5838/M00558380, $562.00 ,,,
2058,DILATOR BALLOON ESOPHEGEAL 8-10MM 8CM F/G 5834/M00558340, $562.00 ,,,
2903,"TRANSJUGULAR LIVER BIOPSY ACCESS SET 10FR .038"" 40CM RUPS-100 G06929"," $1,357.00 ",,,
3337,BALLOON BILIARY DILATOR 6MM 6738, $665.00 ,,,
3568,IMPLANT CEMENT BONE SIMPLEX P (PK.10) FULL DOSE (6191-1-010 OUTER PKG 6191-1-001 INNER PKG) 6191-1-010, $195.00 ,,,
4322,EVACUATOR DRAIN BULB SILICONE 100ML STRL SNGL USE (JACKSON-PRATT TYPE) V0070740, $11.00 ,,,
5875,SNARE GOOSENECK MICRO AMPLATZ 4MM LOOP SK400," $1,920.00 ",,,
5919,CATHETER BALLOON COLONIC 15-18MM 5849/M00558490, $942.00 ,,,
5927,CATHETER FOLEY 2-WAY 24FR 30ML COUDE CARSON LUBRICATH LTX STRL 0100L24, $27.00 ,,,
5930,CATHETER FOLEY 2-WAY 18FR 5ML COUDE CARSON LUBRICATH LTX STRL 0168L18, $25.00 ,,,
5973,CATHETER FOLEY 3-WAY 24FR 30ML RIBBED BALLOON 0167V24S, $24.00 ,,,
6011,"CATHETER GLIDE ANG TAPER 5FR .038"" X 100CM CG508", $146.00 ,,,
6073,CATHETER DRAINAGE NEPHROSTOMY MALECOT LTX 24FR 4-WING  086024, $37.00 ,,,
6205,CATHETER URETERAL POLLACK FLEXI-TIP OPEN-END 5FR 70CM 021305 G14521, $36.00 ,,,
6206,CATHETER URETERAL POLLACK FLEXI-TIP OPEN-END 6FR 70CM 021306 G14808, $36.00 ,,,
6240,CATHETER URETERAL WHISTLE TIP 5FR 136405, $23.00 ,,,
6242,CANNULA CATHETER PASSER SUB-Q 38CM 8591-38, $294.00 ,,,
6569,CATHETER EMBOLECTOMY FOGARTY TRU-LUMEN LTX 4.0FR X 80CM 12TLW804F, $267.00 ,,,
6981,CATHETER URETERAL 8FR CONE 138008, $29.00 ,,,
7069,CATHETER URETERAL WHISTLE TIP 6FR 70CM POLYURETHANE WHISTLE TIP 136406, $23.00 ,,,
7748,"CATHETER DRAINAGE MULTIPURPOSE 12.0FR .038"" 25CM 6S ULT12.0-38-25-P-6S-CLM-RH", $264.00 ,,,
7749,"CATHETER DRAINAGE BILIARY 10.2FR .038"" 40CM ULT10.2-38-40-P-32S-CLB-RH G09498", $277.00 ,,,
7776,"CATHETER GLIDE ANG TAPER 5FR .038"" X 65CM CG507", $146.00 ,,,
8093,"CATHETER DRAINAGE MULTIPURPOSE 10.2FR .038"" 25CM 6S ULT10.2-38-25-P-6S-CLM-RH", $264.00 ,,,
8095,"CATHETER DRAINAGE MULTIPURPOSE 8.5FR .038"" 25CM 6S ULT8.5-38-25-P-6S-CLM-RH", $264.00 ,,,
8124,INTRODUCER SHEATH PINNACLE 7FR X 25CM RSS705, $63.00 ,,,
8186,IMPLANT CATHETER PERITONEAL DIALYSIS SWAN NECK COIL LFT 8888413401, $586.00 ,,,
9060,PUSHER COIL 401216, $504.00 ,,,
9096,"IMPLANT COIL EMBOLI TORNADO .018"" X 8/4MM MWCE-18S-8/4-TORNADO G09215", $330.00 ,,,
