Charge Identifier,CDM Description, 2019 Price 
414,SNARE POLYPECTOMY ACUSNARE (ORDER IN 10'S) STD OVAL 2.5CM X 5.5CM AS-1-S G22629, $52.00 
1053,IMPLANT ANCHOR QUICK W/SUTURE MINI #2-0 212033," $1,344.00 "
1541,ARTERIAL LINE KIT W/DRUG  20GA CATH AK-04510-S, $84.00 
1543,"CATHETER ARTERIAL RADIAL 20GA X 1-3/4"" X .018""  RA-04020", $30.00 
2054,DILATOR BALLOON ESOPHEGEAL 10-12MM 8CM F/G 5835/M00558350, $562.00 
2055,DILATOR BALLOON ESOPHEGEAL 12-15MM 8CM F/G 5836/M00558360, $562.00 
2056,DILATOR BALLOON ESOPHEGEAL 15-18MM 8CM F/G 5837/M00558370, $562.00 
2057,DILATOR BALLOON ESOPHEGEAL 18-20MM 8CM F/G 5838/M00558380, $562.00 
2080,BALLOON PREPERITONEAL DISTENTION SPACEMAKER OMS-PDB1000, $882.00 
2156,IMPLANT EYE SCLERAL BUCKLE BAND SILICONE STYLE 240 2.5 92-02, $38.00 
2167,IMPLANT EYE SCLERAL BUCKLE BAND SILICONE STYLE  41 92-09, $43.00 
2903,"TRANSJUGULAR LIVER BIOPSY ACCESS SET 10FR .038"" 40CM RUPS-100 G06929"," $1,357.00 "
3337,BALLOON BILIARY DILATOR 6MM 6738, $665.00 
3350,CATHETER BALLOON MAX FORCE 18MM 54FR MV 8918, $270.00 
3355,CATHETER BALLOON COLONIC CRE 18MM MV  5850, $640.00 
3568,IMPLANT CEMENT BONE SIMPLEX P (PK.10) FULL DOSE (6191-1-010 OUTER PKG 6191-1-001 INNER PKG) 6191-1-010, $195.00 
4322,EVACUATOR DRAIN BULB SILICONE 100ML STRL SNGL USE (JACKSON-PRATT TYPE) V0070740, $11.00 
4538,BURR 1.25MM ROTALINK  22768-002," $2,685.00 "
4547,BURR 200MM ROTALINK  22768-005," $2,685.00 "
4647,IMPLANT BUTTON LIGAMENT HEWSON 19MM 4HL 120019, $298.00 
4755,IMPLANT CABLE CERCLAGE COCR 1.8MM X 635MM F/GTR 2232-004-18," $1,002.00 "
4831,IMPLANT CABLE READY 1.8MM X 559MM SS GTR 2232-001-18," $1,002.00 "
5459,SNARE CAPTIFLEX MINI MICROSNARE 11MM 6247, $39.00 
5466,IMPLANT ROD CARBON FIBER 220MM 8.0MM 395.784, $507.00 
5875,SNARE GOOSENECK MICRO AMPLATZ 4MM LOOP SK400," $1,920.00 "
5919,CATHETER BALLOON COLONIC 15-18MM 5849/M00558490, $942.00 
5927,CATHETER FOLEY 2-WAY 24FR 30ML COUDE CARSON LUBRICATH LTX STRL 0100L24, $27.00 
5969,CATHETER EMBOLECTOMY FOGARTY LTX 5.0FR X 80CM 120805F, $135.00 
5970,CATHETER EMBOLECTOMY SYNTEL LF 5FR LONG A4F06, $180.00 
5971,CATHETER EMBOLECTOMY FOGARTY LTX 6.0FR X 80CM 120806F, $129.00 
6011,"CATHETER GLIDE ANG TAPER 5FR .038"" X 100CM CG508", $146.00 
6025,GUIDE CATHETER VISTA BRITE 8FR 0.088 XB LAD 3.5 588-8100, $119.00 
6073,CATHETER DRAINAGE NEPHROSTOMY MALECOT LTX 24FR 4-WING  086024, $37.00 
6075,CATHETER DRAINAGE NEPHROSTOMY MALECOT LTX 32FR 361232, $41.00 
6123,CATHETER DRAINAGE NEPHROSTOMY MALECOT LTX 28FR 4-WING 086028, $37.00 
6205,CATHETER URETERAL POLLACK FLEXI-TIP OPEN-END 5FR 70CM 021305 G14521, $36.00 
6206,CATHETER URETERAL POLLACK FLEXI-TIP OPEN-END 6FR 70CM 021306 G14808, $36.00 
6242,CANNULA CATHETER PASSER SUB-Q 38CM 8591-38, $294.00 
6277,CATHETER BALLOON BILIARY 5FR 23CM A4752, $165.00 
6295,CATHETER FILIFORM 4FR COUDE TIP 022304, $120.00 
6296,CATHETER FILIFORM 5FR COUDE TIP 022305, $120.00 
6297,CATHETER FILIFORM 6FR COUDE TIP 022306, $120.00 
6298,CATHETER EMBOLECTOMY SYNTEL LF 2FR LONG A4F00, $225.00 
6299,CATHETER EMBOLECTOMY SYNTEL LF 3FR LONG A4F03, $180.00 
6300,CATHETER EMBOLECTOMY SYNTEL LF 4FR LONG A4F05, $180.00 
6301,CATHETER EMBOLECTOMY SYNTEL LF 4FR SHORT A4F04, $165.00 
6303,CATHETER EMBOLECTOMY SYNTEL LF 6FR LONG A4F07, $180.00 
6363,CATHETER EMBOLECTOMY SYNTEL LF 3FR SHORT A4F02, $165.00 
6368,CATHETER FILIFORM 4FR SPIRAL TIP 022104, $120.00 
6369,CATHETER FILIFORM 5FR SPIRAL TIP 022105, $120.00 
6370,CATHETER FILIFORM 6FR SPIRAL TIP 022106, $120.00 
6371,"CATHETER FILIFORM 4FR 12.5"" ST TIP 021904", $117.00 
6372,"CATHETER FILIFORM 5FR 12.5"" ST TIP 021905", $117.00 
6373,"CATHETER FILIFORM 6FR 12.5"" ST TIP 021906", $117.00 
6392,CATHETER DIAG INF 5FR 100CM JL4 (ORDER IN 5'S) 534-520T, $27.00 
6393,CATHETER DIAG INF 5FR 100CM JR4  (ORDER IN 5'S) 534-521T, $27.00 
6480,CATHETER BALLOON XXL 12MM X 4MM X 75CM 14-510/M001145100, $735.00 
6481,CATHETER BALLOON XXL 14MM X 4MM X 75CM 14-514/M001145140, $735.00 
6567,"GUIDE CATHETER RDC 7FR VISTA BRITE TIP 0.078"" 55CM 778-212-55", $165.00 
6568,CATHETER EMBOLECTOMY FOGARTY TRU-LUMEN LTX 4.0FR X 40CM 12TLW404F, $267.00 
6569,CATHETER EMBOLECTOMY FOGARTY TRU-LUMEN LTX 4.0FR X 80CM 12TLW804F, $267.00 
6723,IMPLANT CATHETER BROVIAC SNGL LUMEN 2.7FR 0600040, $225.00 
6743,CATHETER DIAG 5.2F STP JL3.5 (ORDER IN 5'S) 534518T, $27.00 
6747,CATHETER DIAG 5FR INF STP MP A2 2SH 100CM (ORDER IN 5'S) 534542T, $27.00 
6794,IMPLANT CATHETER EDM VENT 1.5FR X 35CM 46118, $479.00 
6795,CATHETER EMBOLECTOMY FOGARTY LTX 2.0FR X 60CM 120602F, $237.00 
6796,CATHETER EMBOLECTOMY FOGARTY LTX 3.0FR X 80CM 120803F, $135.00 
6797,CATHETER EMBOLECTOMY FOGARTY LTX 3.0FR X 40CM 120403F, $135.00 
6798,CATHETER EMBOLECTOMY FOGARTY LTX 4.0FR X 80CM 120804F, $135.00 
6799,CATHETER EMBOLECTOMY FOGARTY LTX 4.0FR X 40CM 120404F, $135.00 
6802,CATHETER GUIDE ENVOY MPC 5FR 100CM 556-25600, $996.00 
6803,CATHETER GUIDE ENVOY MPC 6FR 100CM 667-25600, $996.00 
6811,CATHETER MICRO FASTRACKER 18MX 150CM X 20CM 134208/M0011342080," $2,219.00 "
6827,IMPLANT CATHETER GROSHONG TUNNELED 8FR SGL LUMEN 7711804, $576.00 
6828,IMPLANT CATHETER GROSHONG DUAL 9.5FR TUNNELED  L 7726954, $765.00 
6836,GUIDE CATHETER VISTA BRITE 8FR AR 2 588-846, $119.00 
6843,GUIDE CATHETER VISTA BRITE 8FR JR 4 588-830, $119.00 
