"HospitalName","Description","Price"
"Saint Luke's Des Peres Hospital","ROOM & BED",NA
"Saint Luke's Des Peres Hospital","PRIVATE ROOM",2476
"Saint Luke's Des Peres Hospital","PRIVATE OTHER",2589
"Saint Luke's Des Peres Hospital","SEMI PRIVATE ROOM",1650
"Saint Luke's Des Peres Hospital","INTENSIVE CARE UNIT",5829
"Saint Luke's Des Peres Hospital","INTENSIVE CARE INTERMED",3800
"Saint Luke's Des Peres Hospital","CORONARY CARE UNIT",5829
"Saint Luke's Des Peres Hospital","CORONARY CARE INTERMED",3819
"Saint Luke's Des Peres Hospital","OBSERVATION MED SURG 1 HR",1355
"Saint Luke's Des Peres Hospital","OBSERVATION DOU 1 HR",1423
"Saint Luke's Des Peres Hospital","OBSERVATION SDU 1 HR",1423
"Saint Luke's Des Peres Hospital","OBSERVATION ICC 1 HR",3583
"Saint Luke's Des Peres Hospital","OBSERVATION CSI 1 HR",3762
"Saint Luke's Des Peres Hospital","OBSERVATION MED SURG ADD HR",65
"Saint Luke's Des Peres Hospital","OBSERVATION DOU ADD HR",65
"Saint Luke's Des Peres Hospital","OBSERVATION ICC ADD HR",169
"Saint Luke's Des Peres Hospital","OBSERVATION CSI ADD HR",177
"Saint Luke's Des Peres Hospital","RECOVERY ROOM",NA
"Saint Luke's Des Peres Hospital","RECOVERY EA ADDL 15 MIN",594
"Saint Luke's Des Peres Hospital","RECOVERY INIT 30 MIN",1411
"Saint Luke's Des Peres Hospital","RADIOLOGY",NA
"Saint Luke's Des Peres Hospital","ABD AORTA W BI LWR EXT",5011
"Saint Luke's Des Peres Hospital","ABD AORTOGRPHY BY SERIAL",4417
"Saint Luke's Des Peres Hospital","ABDOMEN 1 VIEW",326
"Saint Luke's Des Peres Hospital","ABDOMEN 2 VIEWS",378
"Saint Luke's Des Peres Hospital","ABDOMEN 3 VIEWS",485
"Saint Luke's Des Peres Hospital","ABDOMEN ACUTE SERIES",485
"Saint Luke's Des Peres Hospital","ABDOMEN AP OBLIQUE CONE",378
"Saint Luke's Des Peres Hospital","ABDOMEN SINGLE VIEW KUB",326
"Saint Luke's Des Peres Hospital","ABDOMEN W DECUB OR ERECT",323
"Saint Luke's Des Peres Hospital","ACROMIOCLAVICULAR JTS BI",463
"Saint Luke's Des Peres Hospital","ANGIO ADRENAL UNILAT SEL",4342
"Saint Luke's Des Peres Hospital","ANGIO EXIST CATH F U STU",1092
"Saint Luke's Des Peres Hospital","ANGIO EXTREMITY BILAT",4699
"Saint Luke's Des Peres Hospital","ANGIO EXTREMITY UNILAT",3866
"Saint Luke's Des Peres Hospital","ANGIO PULM SEL BI",7511
"Saint Luke's Des Peres Hospital","ANGIO SELECT EA ADD VESL",3200
"Saint Luke's Des Peres Hospital","ANGIO VISCERAL SEL SUPSEL",4000
"Saint Luke's Des Peres Hospital","ANKLE 2 VIEWS",750
"Saint Luke's Des Peres Hospital","ANKLE 3 VIEWS MINIMUM",861
"Saint Luke's Des Peres Hospital","ANTEGRADE NEPHROSTOGRAM",707
"Saint Luke's Des Peres Hospital","BILIARY DIL W WO STENT",4209
"Saint Luke's Des Peres Hospital","BONE AGE STUDIES",259
"Saint Luke's Des Peres Hospital","BONE LENGTH STUDIES",999
"Saint Luke's Des Peres Hospital","BONE SURVEY COMPLETE",1130
"Saint Luke's Des Peres Hospital","CHANGE PERC DRAIN CATH",1078
"Saint Luke's Des Peres Hospital","CHEST 1 VIEW",438
"Saint Luke's Des Peres Hospital","CHEST 2 VIEWS",645
"Saint Luke's Des Peres Hospital","CHEST 2 VIEWS W FLUORO",802
"Saint Luke's Des Peres Hospital","CHEST 3 VIEWS",656
"Saint Luke's Des Peres Hospital","CHEST DECUBITUS VIEWS",550
"Saint Luke's Des Peres Hospital","CHEST SINGLE VIEW",438
"Saint Luke's Des Peres Hospital","CHEST TWO VIEWS",645
"Saint Luke's Des Peres Hospital","CHOLANGIOGRPHY OPERATVE",762
"Saint Luke's Des Peres Hospital","CISTERNOGRAPHY",990
"Saint Luke's Des Peres Hospital","CLAVICLE COMPLETE",726
"Saint Luke's Des Peres Hospital","COLON BARIUM ENEMA",853
"Saint Luke's Des Peres Hospital","COLON BARIUM ENEMA W AIR",1072
"Saint Luke's Des Peres Hospital","CYSTOGRAPHY 3VW MIN",754
"Saint Luke's Des Peres Hospital","DEXA APPENDICULAR SKELTN",401
"Saint Luke's Des Peres Hospital","DEXA AXIAL SKELETON",382
"Saint Luke's Des Peres Hospital","DISCOGRAPHY CERV THOR",2237
"Saint Luke's Des Peres Hospital","DISCOGRAPHY LUMBAR",2210
"Saint Luke's Des Peres Hospital","DX MAMMO CAD BILAT",434
"Saint Luke's Des Peres Hospital","DX MAMMO CAD UNILAT",349
"Saint Luke's Des Peres Hospital","ELBOW 2 VIEWS",680
"Saint Luke's Des Peres Hospital","ELBOW 3 VIEW MINIMUM",717
"Saint Luke's Des Peres Hospital","ELBOW ARTHROGRAPHY",1686
"Saint Luke's Des Peres Hospital","ENDO CATH BILIARY SYSTEM",3004
"Saint Luke's Des Peres Hospital","ENDO CATH PANCREAS DUCT",2562
"Saint Luke's Des Peres Hospital","ENTERCOLYSIS SM BOWEL",1138
"Saint Luke's Des Peres Hospital","ERCP BILIARY PANCREATIC",3920
"Saint Luke's Des Peres Hospital","ESOPHAGUS",638
"Saint Luke's Des Peres Hospital","EYE DETECTION OF FOR BDY",350
"Saint Luke's Des Peres Hospital","FACIAL BONES 2VW MAX",557
"Saint Luke's Des Peres Hospital","FACIAL BONES 3VW MIN",719
"Saint Luke's Des Peres Hospital","FEMUR 1 VW",315
"Saint Luke's Des Peres Hospital","FEMUR 2 VIEWS MIN",808
"Saint Luke's Des Peres Hospital","FINGER S 2 VIEWS",512
"Saint Luke's Des Peres Hospital","FISTULA SINUS TRCT STDY",766
"Saint Luke's Des Peres Hospital","FLUORO BX ASP INJ GUIDE",1423
"Saint Luke's Des Peres Hospital","FLUORO GUIDE SPINE INJ",1453
"Saint Luke's Des Peres Hospital","FLUOROGUID FOR VEIN DVCE",1684
"Saint Luke's Des Peres Hospital","FLUOROSCOPY 1 HOUR",1042
"Saint Luke's Des Peres Hospital","FOOT 2 VIEWS",638
"Saint Luke's Des Peres Hospital","FOOT 3 VIEWS MINIMUM",700
"Saint Luke's Des Peres Hospital","FOREARM 2 VIEWS",602
"Saint Luke's Des Peres Hospital","GI TUBE INTRO W FLUORO",654
"Saint Luke's Des Peres Hospital","HAND 2 VIEWS",606
"Saint Luke's Des Peres Hospital","HAND 3 VIEWS MINUMUM",674
"Saint Luke's Des Peres Hospital","HIP ARTHROGRAPHY",965
"Saint Luke's Des Peres Hospital","HIP BI W PEL 2WS",562
"Saint Luke's Des Peres Hospital","HIP BI W PEL 5VWS",735
