"HospitalName","Description","Price","Address","Zip","City","StaffedBeds","TotalDischarges","PatientDays","GrossPatientRevenue","long","lat","Item"
"Black River Medical Center","ACETAMINOPHEN TAB 325MG  100",1.25,"217 Physicians Park Drive, Poplar Bluff, MO, 63901",63901,"Poplar Bluff",8,407,1269,75547,-90.4565967,36.7707546,"Acetamenophin (325mg Tablet)"
"Bothwell Regional Health Center","TYLENOL 325MG TABLET",2,"601 East 14th Street, Sedalia, MO, 65301",65301,"Sedalia",122,NA,15954,315040,-93.22264,38.699062,"Acetamenophin (325mg Tablet)"
"Citizens Memorial Hospital","acetaminophen 500 MG GELCAP",2.5,"1500 North Oakland Avenue, Bolivar, MO, 65613",65613,"Bolivar",72,NA,8966,378182,-93.42094,37.626537,"Acetamenophin (325mg Tablet)"
"Liberty Hospital","ACETAMINOPHEN 325MG TAB",1,"2525 Glenn Hendren Drive, Liberty, MO, 64068",64068,"Liberty",207,NA,32034,629356,-94.42488,39.276436,"Acetamenophin (325mg Tablet)"
"Mosaic Life Care at Saint Joseph - Medical Center","TYLENOL 325MG TAB",0.25,"5325 Faraon Street, Saint Joseph, MO, 64506",64506,"Saint Joseph",352,NA,70520,1235235,-94.77176,39.770138,"Acetamenophin (325mg Tablet)"
"North Kansas City Hospital","Acetaminophen 500mg Tab",0,"2800 Clay Edwards Drive, North Kansas City, MO, 64116",64116,"North Kansas City",413,NA,88996,1716388,-94.55008,39.14959,"Acetamenophin (325mg Tablet)"
"Poplar Bluff Regional Medical Center - Oak Grove","ACETAMINOPHEN 325MG TAB       ",1,"3100 Oak Grove Rd, Poplar Bluff, MO, 63901",63901,"Poplar Bluff",221,NA,43116,1367325,-90.443287,36.788987,"Acetamenophin (325mg Tablet)"
"Southeast Health Center of Stoddard County","TYLENOL 325MG TABLET",3,"1200 N 1 Mile Rd, Dexter, MO, 63841",63841,"Dexter",48,817,2153,67288,-89.9701,36.806152,"Acetamenophin (325mg Tablet)"
"Saint Luke's East Hospital","TYLENOL 325 MG TABLET",0.13,"100 NE St Lukes Blvd, Lee's Summit, MO, 64086",64086,"Lee's Summit",184,NA,51826,1230676,-94.38195,38.94175,"Acetamenophin (325mg Tablet)"
"Saint Luke's Hospital","TYLENOL 325 MG TABLET",0.13,"232 S Woods Mill Rd, Chesterfield, MO, 63017",63017,"Chesterfield",462,NA,63821,1511123,-90.50342,38.6515,"Acetamenophin (325mg Tablet)"
"Capital Region Medical Center","Y    ACETAMINOPHEN 325 MG TAB",0.0142,"1125 Madison Street, Jefferson City, MO, 65101",65101,"Jefferson City",114,NA,17048,502476,-92.18203,38.56665,"Acetamenophin (325mg Tablet)"
"University of Missouri Hospital","ACETAMINOPHEN 325 MG TABLET",0.37,"One Hospital Drive, Columbia, MO, 65212",65212,"Columbia",587,NA,126788,2595460,-92.3273683,38.9381449,"Acetamenophin (325mg Tablet)"
"Pemiscot Memorial Health System","TYLENOL 325MG TAB",8,"907 East Reed, Hayti, MO, 63851",63851,"Hayti",167,NA,4804,74792,-89.74066,36.236813,"Acetamenophin (325mg Tablet)"
"Saint Francis Medical Center","ACETAMINOPHEN 325 MG TABLET",0.53,"211 St Francis Dr, Cape Girardeau, MO, 63703",63703,"Cape Girardeau",302,NA,57341,1955417,-89.57125,37.30357,"Acetamenophin (325mg Tablet)"
"Texas County Memorial Hospital","ACETAMINOPHEN 325MG TAB [TYLENOL]",2,"1333 S. Sam Houston Boulevard, Houston, MO, 65483",65483,"Houston",47,NA,3905,74237,-91.95923,37.317314,"Acetamenophin (325mg Tablet)"
