"HospitalName","Description","Price","Address","Zip","City","StaffedBeds","TotalDischarges","PatientDays","GrossPatientRevenue","long","lat","Item"
"Bothwell Regional Health Center","3SW-ROOM CHARGE",1147,"601 East 14th Street, Sedalia, MO, 65301",65301,"Sedalia",122,NA,15954,315040,-93.22264,38.699062,"Private Room (Medical/Surgical Unit)"
"Citizens Memorial Hospital","Private Room",885,"1500 North Oakland Avenue, Bolivar, MO, 65613",65613,"Bolivar",72,NA,8966,378182,-93.42094,37.626537,"Private Room (Medical/Surgical Unit)"
"Liberty Hospital","2E MED SURG ROOM",1295,"2525 Glenn Hendren Drive, Liberty, MO, 64068",64068,"Liberty",207,NA,32034,629356,-94.42488,39.276436,"Private Room (Medical/Surgical Unit)"
"Mosaic Life Care at Saint Joseph - Medical Center","PRIVATE ROOM",881,"5325 Faraon Street, Saint Joseph, MO, 64506",64506,"Saint Joseph",352,NA,70520,1235235,-94.77176,39.770138,"Private Room (Medical/Surgical Unit)"
"North Kansas City Hospital","Room And Bed Med Surg",2103,"2800 Clay Edwards Drive, North Kansas City, MO, 64116",64116,"North Kansas City",413,NA,88996,1716388,-94.55008,39.14959,"Private Room (Medical/Surgical Unit)"
"Poplar Bluff Regional Medical Center - Oak Grove","PRIVATE ROOM                  ",1603.95,"3100 Oak Grove Rd, Poplar Bluff, MO, 63901",63901,"Poplar Bluff",221,NA,43116,1367325,-90.443287,36.788987,"Private Room (Medical/Surgical Unit)"
"Southeast Hospital","Oncology Private Room",609.41,"1701 Lacey Street, Cape Girardeau, MO, 63701",63701,"Cape Girardeau",222,NA,37700,1083546,-89.54289,37.311756,"Private Room (Medical/Surgical Unit)"
"Saint Luke's Des Peres Hospital","PRIVATE ROOM",2476,"2345 Dougherty Ferry Rd, St. Louis, MO, 63122",63122,"Saint Louis",88,NA,13879,478258,-90.44815,38.58157,"Private Room (Medical/Surgical Unit)"
"Capital Region Medical Center","MEDICAL/SURGICAL UNIT",1147,"1125 Madison Street, Jefferson City, MO, 65101",65101,"Jefferson City",114,NA,17048,502476,-92.18203,38.56665,"Private Room (Medical/Surgical Unit)"
"University of Missouri Hospital","DAILY ROOM MPC ADULT 1",1756,"One Hospital Drive, Columbia, MO, 65212",65212,"Columbia",587,NA,126788,2595460,-92.3273683,38.9381449,"Private Room (Medical/Surgical Unit)"
"Ozarks Medical Center","PRIVATE ROOM MED SURG UNIT",1104,"1100 Kentucky Avenue, West Plains, MO, 65775",65775,"West Plains",103,NA,19097,406891,-91.87558,36.738,"Private Room (Medical/Surgical Unit)"
"Saint Francis Medical Center","HC PRIVATE ROOM",1373,"211 St Francis Dr, Cape Girardeau, MO, 63703",63703,"Cape Girardeau",302,NA,57341,1955417,-89.57125,37.30357,"Private Room (Medical/Surgical Unit)"
