"1","404 Keene Street","Columbia","MO",65201
"2","One Barnes-Jewish Hospital Plaza","Saint Louis","MO",63110
"3","10 Hospital Drive","Saint Peters","MO",63376
"4","12634 Olive Blvd","Saint Louis","MO",63141
"5","615 West Nursery Street","Butler","MO",64730
"6","17065 South 71 Highway","Belton","MO",64012
"7","217 Physicians Park Drive","Poplar Bluff","MO",63901
"8","1600 East Broadway","Columbia","MO",65201
"9","601 East 14th Street","Sedalia","MO",65301
"10","1600 East Evergreen","Cameron","MO",64429
"11","1125 Madison Street","Jefferson City","MO",65101
"12","1432 Southwest Boulevard","Jefferson City","MO",65102
"13","19600 East 39th Street","Independence","MO",64057
"14","11133 Dunn Road","Saint Louis","MO",63136
"15","1500 North Oakland Avenue","Bolivar","MO",65613
"16","17651 B Highway","Boonville","MO",65233
"17","525 Branson Landing Boulevard","Branson","MO",65616
"18","3801 South National Avenue","Springfield","MO",65807
"19","1423 North Jefferson Avenue","Springfield","MO",65802
"20","2305 South Highway 65","Marshall","MO",65340
"21","1102 West 32nd Street","Joplin","MO",64804
"22","10 South Hospital Drive","Fulton","MO",65251
"23","126 Missouri Avenue","Fort Leonard Wood","MO",65473
"24","1600 North Second Street","Clinton","MO",64735
"25","6000 Hospital Drive","annibal","MO",63401
"26","800 Hospital Drive","Columbia","MO",65201
"27","1500 North Westwood Boulevard","Poplar Bluff","MO",63901
"28","4801 Linwood Boulevard","Kansas City","MO",64128
"29","54 Hospital Drive","Osage Beach","MO",65065
"30","2100 Southeast Blue Parkway","Lee's Summit","MO",64063
"31","2525 Glenn Hendren Drive","Liberty","MO",64068
"32","615 South New Ballas Road","Saint Louis","MO",63141
"33","1235 East Cherokee Street","Springfield","MO",65804
"34","625 South New Ballas Road","Saint Louis","MO",63141
"35","1400 U.S. Highway 61 South","Festus","MO",63019
"36","100 Mercy Way","Joplin","MO",64804
"37","100 Hospital Drive","Lebanon","MO",65536
"38","615 South New Ballas Road","Saint Louis","MO",63141
"39","1235 East Cherokee Street","Springfield","MO",65804
"40","901 East Fifth Street","Washington","MO",63090
"41","3015 North Ballas Road","Saint Louis","MO",63131
"42","1008 North Main Street","Sikeston","MO",63801
"43","1515 Union Avenue","Moberly","MO",65270
"44","5325 Faraon Street","Saint Joseph","MO",64506
"45","800 South Ash Street","Nevada","MO",64772
"46","2800 Clay Edwards Drive","North Kansas City","MO",64116
"47","315 South Osteopathy","Kirksville","MO",63501
"48","1100 Kentucky Avenue","West Plains","MO",65775
"49","1101 West Liberty Street","1101 West Liberty ",NA,NA
"50","907 East Reed","Hayti","MO",63851
"51","1000 W 10th St","Rolla","MO",65401
"52","3100 Oak Grove Rd","Poplar Bluff","MO",63901
"53","2 Progress Point Ct","O'Fallon","MO",63368
"54","2316 E Meyer Blvd","Kansas City","MO",64132
"55","3933 S Broadway","St. Louis","MO",63118
"56","3933 S Broadway","St. Louis","MO",63118
"57","10010 Kennerly Rd","St. Louis","MO",63128
"58","211 St Francis Dr","Cape Girardeau","MO",63703
"59","1000 Carondelet Dr","Kansas City","MO",64114
"60","915 N Grand Blvd","St. Louis","MO",63106
"61","2345 Dougherty Ferry Rd","St. Louis","MO",63122
"62","100 NE St Lukes Blvd","Lee's Summit","MO",64086
"63","232 S Woods Mill Rd","Chesterfield","MO",63017
"64","4401 Wornall Rd","Kansas City","MO",64111
"65","5830 NW Barry Rd","Kansas City","MO",64154
"66","601 S US-169","Smithville","MO",64089
"67","201 NW R D Mize Rd","Blue Springs","MO",64014
"68","1200 N 1 Mile Rd","Dexter","MO",63841
"69","1701 Lacey Street","Cape Girardeau","MO",63701
"70","1015 Bowles Avenue","Fenton","MO",63026
"71","300 First Capitol Drive","Saint Charles","MO",63301
"72","12303 DePaul Drive","Bridgeton","MO",63044
"73","2016 South Main Street","Maryville","MO",64468
"74","500 Medical Drive","Wentzville","MO",63385
"75","100 Medical Plaza","Lake Saint Louis","MO",63367
"76","3635 Vista At Grand Boulevard","Saint Louis","MO",63110
"77","620 East Monroe","Mexico","MO",65265
"78","2505 Mission Dr","Jefferson City","MO",65109
"79","6420 Clayton Road","Saint Louis","MO",63117
"80","1333 S. Sam Houston Boulevard","Houston","MO",65483
"81","2301 Holmes Street","Kansas City","MO",64108
"82","7900 Lee's Summit Road","Kansas City","MO",64139
"83","One Hospital Drive","Columbia","MO",65212
"84","403 Burkarth Road","Warrensburg","MO",64093
